SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
ACC,1743,1752,1731.6,1737.75,1733,1733.2,217585,378897568.7,01-AUG-2017,8688,INE012A01025
ADANIENT,137.9,140.85,137.9,140.2,140.25,137.9,2635910,367799503.5,01-AUG-2017,13819,INE423A01024
ADANIPORTS,397.45,405.3,396.45,404,404,395.9,3391013,1365720388.8,01-AUG-2017,36531,INE742F01042
ADANIPOWER,33.65,33.8,33.25,33.35,33.45,33.5,3488648,116884936.9,01-AUG-2017,5490,INE814H01011
AJANTPHARM,1405,1415.15,1378.4,1388.85,1385.3,1397.15,140187,195896028.95,01-AUG-2017,16780,INE031B01049
ALBK,75.15,75.6,73.55,74.15,74.2,74.85,1968767,146212577.65,01-AUG-2017,9037,INE428A01015
AMARAJABAT,839.95,850.7,834,847.45,847.5,834.4,171042,144172245.8,01-AUG-2017,7852,INE885A01032
AMBUJACEM,264.4,266.5,259.8,260.8,260.5,263.15,2370928,622240377.8,01-AUG-2017,21930,INE079A01024
ANDHRABANK,57.35,57.8,56.3,56.6,56.55,57.15,1454828,82447844.05,01-AUG-2017,4176,INE434A01013
APOLLOHOSP,1260,1282.55,1260,1267.8,1265.5,1259,119289,151796341.65,01-AUG-2017,9764,INE437A01024
APOLLOTYRE,267.7,268,263,266.95,266,266.5,2285358,607749253.7,01-AUG-2017,25176,INE438A01022
ARVIND,367.65,369.45,362.6,365.55,365.3,365.9,752634,275548436.1,01-AUG-2017,12211,INE034A01011
ASHOKLEY,110.05,112.1,108.7,111.05,110.85,109.5,17902937,1979509274.5,01-AUG-2017,65059,INE208A01029
ASIANPAINT,1162,1163,1140.5,1148.2,1150,1161.7,1176561,1349472820.35,01-AUG-2017,46965,INE021A01026
AUROPHARMA,719,741.7,719,734.45,736,718.6,2540358,1866592053.9,01-AUG-2017,37517,INE406A01037
AXISBANK,518.2,521.75,514.75,516.55,515.3,519.8,4562630,2361543420.4,01-AUG-2017,66142,INE238A01034
ACC,1725,1775,1712.5,1772.1,1774,1737.75,750288,1316885654.8,02-AUG-2017,26866,INE012A01025
ADANIENT,140.7,143.85,140.55,141.95,141.9,140.2,4380118,623047506.25,02-AUG-2017,21951,INE423A01024
ADANIPORTS,405,413.5,402.65,411.25,411.5,404,2997197,1219418309.6,02-AUG-2017,43536,INE742F01042
ADANIPOWER,33.35,33.7,33,33.2,33.1,33.35,3362906,111869093.45,02-AUG-2017,5333,INE814H01011
AJANTPHARM,1392.85,1404,1370.05,1374.6,1372,1388.85,111440,154319611.15,02-AUG-2017,15960,INE031B01049
ALBK,74.3,74.85,73.3,73.85,73.6,74.15,2359999,175023405.45,02-AUG-2017,12361,INE428A01015
AMARAJABAT,844.05,851,840,842.7,840.65,847.45,100464,84916783.95,02-AUG-2017,4777,INE885A01032
AMBUJACEM,259.9,267.9,258.1,266.6,266.6,260.8,2324968,613179676.45,02-AUG-2017,37837,INE079A01024
ANDHRABANK,57,57,55.9,56.25,55.95,56.6,1808265,102246111.15,02-AUG-2017,4951,INE434A01013
APOLLOHOSP,1265.6,1285,1261.5,1277.55,1280,1267.8,103463,131715590.9,02-AUG-2017,6430,INE437A01024
APOLLOTYRE,266,279,263.75,277.75,276.4,266.95,8790037,2402911571.15,02-AUG-2017,65108,INE438A01022
ARVIND,365.55,369,364.1,367.4,367,365.55,1017241,372899951.95,02-AUG-2017,26097,INE034A01011
ASHOKLEY,111,111,108.6,109.35,108.9,111.05,7178227,786946739.55,02-AUG-2017,29985,INE208A01029
ASIANPAINT,1150,1152,1135,1144.5,1145,1148.2,848781,968147645.3,02-AUG-2017,18269,INE021A01026
AUROPHARMA,736.9,736.9,724.2,731.05,728.4,734.45,1399075,1020578089.6,02-AUG-2017,23303,INE406A01037
AXISBANK,518.75,524.05,512.6,516.9,513.6,516.55,4079631,2121095779.95,02-AUG-2017,64512,INE238A01034
ACC,1778,1817.8,1758,1810.6,1817.75,1772.1,891266,1597342683.75,03-AUG-2017,27616,INE012A01025
ADANIENT,142.1,142.65,137.1,137.75,137.5,141.95,2488880,347794118.6,03-AUG-2017,12706,INE423A01024
ADANIPORTS,411.9,411.9,402.65,407.35,407.75,411.25,2541125,1034105713.45,03-AUG-2017,20256,INE742F01042
ADANIPOWER,33.15,33.4,32.05,32.5,32.5,33.2,8434608,275538163.65,03-AUG-2017,10418,INE814H01011
AJANTPHARM,1366,1376.8,1329.45,1338.05,1348.85,1374.6,209014,281945645.15,03-AUG-2017,18221,INE031B01049
ALBK,73.8,73.8,70.7,71.35,71.5,73.85,2911007,209707750.15,03-AUG-2017,9110,INE428A01015
AMARAJABAT,842,844.1,815,817.65,818,842.7,256160,212057202.05,03-AUG-2017,14504,INE885A01032
AMBUJACEM,266.5,273,264,272.1,271.35,266.6,3813836,1028234013.05,03-AUG-2017,35881,INE079A01024
ANDHRABANK,56.25,56.25,54.45,54.95,54.95,56.25,2261342,124703200.15,03-AUG-2017,5346,INE434A01013
APOLLOHOSP,1285,1290,1260.1,1267.55,1268,1277.55,230588,293943755.95,03-AUG-2017,23197,INE437A01024
APOLLOTYRE,278.5,278.6,269.3,270.85,270.3,277.75,5013187,1374749844.6,03-AUG-2017,38846,INE438A01022
ARVIND,366.95,371.65,361.65,363.5,361.95,367.4,854234,313835758.95,03-AUG-2017,19586,INE034A01011
ASHOKLEY,109.25,110.45,108.1,108.9,108.8,109.35,7702651,841486194.1,03-AUG-2017,28871,INE208A01029
ASIANPAINT,1143,1148.9,1127.1,1146.1,1148,1144.5,997619,1136102963,03-AUG-2017,37568,INE021A01026
AUROPHARMA,734.5,748.5,729,741.3,741.05,731.05,3436769,2550273237.05,03-AUG-2017,52215,INE406A01037
AXISBANK,516,516.35,504.8,506,505.4,516.9,4140945,2106584695.8,03-AUG-2017,80442,INE238A01034
ACC,1793.5,1837,1793.5,1813.35,1818.45,1810.6,572886,1042565772.6,04-AUG-2017,29907,INE012A01025
ADANIENT,137.6,139.25,136.2,138,137.6,137.75,2306461,317942455.15,04-AUG-2017,11739,INE423A01024
ADANIPORTS,406,410.4,403.1,406.65,407.3,407.35,2770532,1123908920.2,04-AUG-2017,32493,INE742F01042
ADANIPOWER,32.5,33.05,32,32.9,32.8,32.5,4498049,146507835,04-AUG-2017,6071,INE814H01011
AJANTPHARM,1340,1349.5,1320.55,1340.55,1342.05,1338.05,134048,179331478.65,04-AUG-2017,6797,INE031B01049
ALBK,71.05,72.15,70.65,71.45,71.4,71.35,1651897,117993263.55,04-AUG-2017,5250,INE428A01015
AMARAJABAT,818,818.95,787.3,805.8,804,817.65,487344,390296687.25,04-AUG-2017,17965,INE885A01032
AMBUJACEM,271.35,278.2,269.3,277.45,276.7,272.1,4142004,1136084477.35,04-AUG-2017,48862,INE079A01024
ANDHRABANK,55.25,57.2,54.5,56.1,55.8,54.95,4755562,265511006.8,04-AUG-2017,11570,INE434A01013
APOLLOHOSP,1267.55,1278.75,1250,1258.1,1257.2,1267.55,94519,118986962.2,04-AUG-2017,7566,INE437A01024
APOLLOTYRE,261,270.4,259.1,262.25,263.6,270.85,10772073,2855422279.55,04-AUG-2017,62879,INE438A01022
ARVIND,363,370,361.05,364.7,364.5,363.5,1182507,432617399,04-AUG-2017,15327,INE034A01011
ASHOKLEY,108.85,109.9,106.3,109.2,109.6,108.9,8732032,944649927.25,04-AUG-2017,31730,INE208A01029
ASIANPAINT,1144,1159.95,1140.65,1157.3,1159,1146.1,529318,609198978.45,04-AUG-2017,12321,INE021A01026
AUROPHARMA,730.6,733.95,718.2,725.3,724.7,741.3,1828990,1326407418,04-AUG-2017,31631,INE406A01037
AXISBANK,506,510.8,504.6,508.1,507.8,506,4972811,2524244771.95,04-AUG-2017,61421,INE238A01034
ACC,1818,1827,1795.05,1817.35,1816.45,1813.35,257138,466903732.3,07-AUG-2017,13532,INE012A01025
ADANIENT,138.45,140.9,138,140.1,140.2,138,2242614,313295144.75,07-AUG-2017,11667,INE423A01024
ADANIPORTS,411.8,421.5,408.5,414.25,413.3,406.65,3863466,1600070504.25,07-AUG-2017,35744,INE742F01042
ADANIPOWER,33.4,33.55,32.6,32.9,33,32.9,5312933,175583752,07-AUG-2017,6085,INE814H01011
AJANTPHARM,1350,1358,1332.45,1338.05,1338.5,1340.55,50255,67717570.4,07-AUG-2017,2277,INE031B01049
ALBK,71.8,72.35,71.4,71.85,71.75,71.45,1452479,104224269.85,07-AUG-2017,5070,INE428A01015
AMARAJABAT,809.65,835,792.85,821.25,814.4,805.8,1235383,1014399931.35,07-AUG-2017,29266,INE885A01032
