SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
BAJAJ-AUTO,2812,2830.5,2798.05,2823.4,2826,2808.55,190726,537562371.25,01-AUG-2017,10345,INE917I01010
BAJAJFINSV,5025,5084.4,4990,5067.25,5068.9,4991.85,146487,739986098.95,01-AUG-2017,16029,INE918I01018
BAJFINANCE,1709.9,1727.9,1706.05,1716.25,1718,1703.1,692591,1190439654.5,01-AUG-2017,31158,INE296A01024
BALKRISIND,1631.15,1634.95,1595,1604.1,1596,1625.7,91977,147992659.9,01-AUG-2017,6205,INE787D01026
BALRAMCHIN,165.55,167.15,161.6,162.45,162,165.4,3163387,518321500.9,01-AUG-2017,18245,INE119A01028
BANKBARODA,166.75,167,162.6,163.5,163.6,166.05,7847054,1287055280.2,01-AUG-2017,37730,INE028A01039
BANKINDIA,166,167.6,161.45,162.3,162.45,166,4327687,706951148.7,01-AUG-2017,22173,INE084A01016
BATAINDIA,589.5,593.45,582.35,586.1,587,588.15,777533,455240195.5,01-AUG-2017,23998,INE176A01028
BEL,184.95,187.5,179.8,180.95,183.05,178.75,8834373,1610273874.05,01-AUG-2017,65004,INE263A01024
BEML,1738,1746.9,1709,1717,1716.8,1726.15,596675,1031279117.35,01-AUG-2017,14671,INE258A01016
BERGEPAINT,248,250.6,247,248.75,248.65,247.8,395205,98556259.35,01-AUG-2017,14729,INE463A01038
BHARATFIN,847,856.8,841,851.8,851,844.8,1300144,1104838007.9,01-AUG-2017,23246,INE180K01011
BHARATFORG,1150.1,1159.45,1145.25,1150.1,1150,1148.7,309426,356279175.35,01-AUG-2017,6846,INE465A01025
BHARTIARTL,420.15,423,413.75,417.05,419.5,418.95,2206614,921944294.05,01-AUG-2017,26468,INE397D01024
BHEL,145.9,146.55,143.9,144.6,144.35,145.1,2776932,402796298.4,01-AUG-2017,14534,INE257A01026
BIOCON,370.5,381,370.5,376.7,378,384.7,3282809,1237559962.1,01-AUG-2017,37909,INE376G01013
BOSCHLTD,24379,24886.5,24178,24666.5,24875,24178.1,18007,442388372.95,01-AUG-2017,5750,INE323A01026
BPCL,472.1,486.95,472,485.6,484.95,471.15,3492479,1683436409.45,01-AUG-2017,60368,INE029A01011
BRITANNIA,3919.8,3958,3885.55,3907.5,3905,3921.6,114470,448862999.7,01-AUG-2017,19802,INE216A01022
BAJAJ-AUTO,2789.95,2817.7,2786,2802.9,2799.75,2823.4,298840,836668955,02-AUG-2017,22397,INE917I01010
BAJAJFINSV,5070,5100,4984.4,5002.35,4990,5067.25,142369,715526467.4,02-AUG-2017,23078,INE918I01018
BAJFINANCE,1724.95,1726.2,1691.1,1707.2,1705,1716.25,396171,677006159.4,02-AUG-2017,16443,INE296A01024
BALKRISIND,1604.1,1630,1570,1619.5,1617,1604.1,246244,395059559.7,02-AUG-2017,14310,INE787D01026
BALRAMCHIN,162.7,173.15,162.7,172.25,171,162.45,7566572,1278881013.65,02-AUG-2017,39700,INE119A01028
BANKBARODA,164.4,165.3,162.8,163.4,163,163.5,6526280,1070312405.55,02-AUG-2017,28737,INE028A01039
BANKINDIA,163,163.9,159.35,161.55,160.75,162.3,4716409,765300709.9,02-AUG-2017,23313,INE084A01016
BATAINDIA,587.5,590.75,582,585,585.5,586.1,490892,287734782.1,02-AUG-2017,15358,INE176A01028
BEL,182.95,182.95,181,182.05,181.85,180.95,4336030,788571344.8,02-AUG-2017,59588,INE263A01024
