SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
CADILAHC,542.9,553,539.05,540.65,539.25,543.65,913963,499375115.35,01-AUG-2017,16084,INE010B01027
CANBK,369.8,370.45,361.05,362.7,363.5,368.1,2017458,734434003.95,01-AUG-2017,15114,INE476A01014
CANFINHOME,3111.9,3129,3065,3086.85,3076,3088.9,61977,191733457.95,01-AUG-2017,4328,INE477A01012
CAPF,774.8,778.6,769.1,774.9,774.6,772.65,151734,117484267.35,01-AUG-2017,3642,INE688I01017
CASTROLIND,400.25,403.95,399.25,399.95,399.6,400.65,360391,144588591.2,01-AUG-2017,7201,INE172A01027
CEATLTD,1876.45,1893.2,1870.45,1876.95,1875,1877.15,408148,767672815.6,01-AUG-2017,11425,INE482A01020
CENTURYTEX,1189,1196.4,1168.25,1176.85,1175.8,1188.2,302838,357903302.75,01-AUG-2017,8959,INE055A01016
CESC,945,953.25,935,946.05,945,942.75,653585,618655141.9,01-AUG-2017,30763,INE486A01013
CGPOWER,86,86,83.6,84.45,84.5,84.85,1792439,152369176.4,01-AUG-2017,3688,INE067A01029
CHENNPETRO,388.4,419.5,387.15,414.3,412.2,387,4317748,1774869604.35,01-AUG-2017,51125,INE178A01016
CHOLAFIN,1202,1209.9,1169.1,1175.3,1178.05,1198.2,318081,376957584.15,01-AUG-2017,31010,INE121A01016
CIPLA,560.1,565.9,558.5,562.45,562.85,560.1,712732,400509853.55,01-AUG-2017,30078,INE059A01026
COALINDIA,249.9,253.5,249.45,251.45,251.8,249.1,5248187,1320065383.4,01-AUG-2017,52164,INE522F01014
COLPAL,1080,1085.95,1067.4,1069.75,1068,1079.55,119519,127987141.85,01-AUG-2017,6205,INE259A01022
CONCOR,1177.9,1199.9,1169.05,1175.7,1173,1143.85,896563,1058516356.65,01-AUG-2017,24563,INE111A01017
CUMMINSIND,984,993.6,961.85,970.6,970.9,987.75,242615,237927973.95,01-AUG-2017,8210,INE298A01020
CADILAHC,542.4,546.9,535.5,540.8,542,540.65,338367,183545829.6,02-AUG-2017,6967,INE010B01027
CANBK,363.7,365,357.6,360.25,357.7,362.7,1597531,578946861.3,02-AUG-2017,16227,INE476A01014
CANFINHOME,3098.95,3104.85,3053.05,3073.1,3070,3086.85,44420,136699332.85,02-AUG-2017,3194,INE477A01012
CAPF,777.7,787.5,763.55,780.65,772.25,774.9,699285,544309781.7,02-AUG-2017,13308,INE688I01017
CASTROLIND,401.8,402.8,394.1,396.4,394.55,399.95,472840,187986343.2,02-AUG-2017,8923,INE172A01027
CEATLTD,1875.05,1937.3,1872,1927.05,1921,1876.95,1576099,3016695550.6,02-AUG-2017,41597,INE482A01020
CENTURYTEX,1177.9,1185.7,1168.05,1172.5,1169,1176.85,232719,273936988.05,02-AUG-2017,8370,INE055A01016
CESC,949.4,958.2,941.35,950.65,947.5,946.05,750454,713663848.3,02-AUG-2017,23566,INE486A01013
CGPOWER,83.5,85,83.45,84,83.45,84.45,621328,52298631.25,02-AUG-2017,2293,INE067A01029
CHENNPETRO,411,414,402.55,406.8,407,414.3,1225046,500651270.8,02-AUG-2017,24898,INE178A01016
CHOLAFIN,1175.25,1189,1163.25,1174.3,1170.25,1175.3,109870,129070318.7,02-AUG-2017,12600,INE121A01016
CIPLA,562.85,570.9,560,568.55,567.5,562.45,664681,375863184.35,02-AUG-2017,19891,INE059A01026
COALINDIA,251.95,253.4,249,250.85,251,251.45,3701093,930281005.75,02-AUG-2017,26747,INE522F01014
