SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
DABUR,309.95,310.25,301.2,301.7,301.2,310,1760770,536118089.2,01-AUG-2017,35972,INE016A01026
DALMIABHA,2659.35,2712.9,2578.7,2590.45,2590,2659.35,120899,321496182.25,01-AUG-2017,7821,INE439L01019
DCBBANK,195.6,200.5,194.05,199.9,200.5,195.5,1791042,355072822.15,01-AUG-2017,12473,INE503A01015
DHFL,459,466.85,457,465.95,466.7,456.75,1503150,695415047.5,01-AUG-2017,32788,INE202B01012
DISHTV,82.95,83.35,80.6,81,80.7,83.3,2869644,235605098.9,01-AUG-2017,14731,INE836F01026
DIVISLAB,671,674.95,662.95,667.75,669.5,672.9,971964,648846298.2,01-AUG-2017,18427,INE361B01024
DLF,194.5,195.65,192.15,193.55,193.6,193.35,6750072,1307366674.8,01-AUG-2017,34619,INE271C01023
DRREDDY,2379,2458,2369.8,2431.55,2426,2383.2,1034078,2517534036.05,01-AUG-2017,49499,INE089A01023
EICHERMOT,30223.3,31600,30213,31504.8,31550,30081.2,128219,3971323493.75,01-AUG-2017,40450,INE066A01013
ENGINERSIN,159,162,159,161,161,158.85,1527118,245565026,01-AUG-2017,14930,INE510A01028
EQUITAS,169,169,162.25,163.05,163,167.5,881042,145147208.4,01-AUG-2017,6361,INE988K01017
ESCORTS,672,704,664.5,701.05,703,669.35,4670857,3224792609.95,01-AUG-2017,74129,INE042A01014
EXIDEIND,217.95,224.35,216.75,223.8,223.95,217.5,3035465,672974548.3,01-AUG-2017,26245,INE302A01020
FEDERALBNK,116.25,116.25,114.1,115.1,115.15,115.25,6973313,803263604.85,01-AUG-2017,25251,INE171A01029
VEDL,280.9,282.85,280.1,282.05,281.7,279.85,6301465,1774273796.2,01-AUG-2017,60239,INE205A01025
VGUARD,178.5,182.9,177.5,180.8,180.5,178.15,1532109,277059160.9,01-AUG-2017,16180,INE951I01027
VOLTAS,507,535,505,533.65,533.5,504.25,3099028,1630955686.35,01-AUG-2017,44175,INE226A01021
WIPRO,289,295.95,289,294.8,294.65,288.45,4035172,1185548026.6,01-AUG-2017,33634,INE075A01022
WOCKPHARMA,607.65,614.3,599.2,602.7,600.8,607,365224,222009181.75,01-AUG-2017,7988,INE049B01025
YESBANK,1818.7,1838,1809.15,1827.25,1829,1809.5,2910564,5318223689.1,01-AUG-2017,91094,INE528G01019
DABUR,302,304.6,298.5,300.7,299.35,301.7,748776,225365575.6,02-AUG-2017,9208,INE016A01026
DALMIABHA,2600,2645.95,2570.45,2624.7,2623,2590.45,50219,131666305.7,02-AUG-2017,6566,INE439L01019
DCBBANK,201,202.65,198.1,199.4,198.9,199.9,2817606,564725114.05,02-AUG-2017,18675,INE503A01015
DHFL,468,468.5,459,460.8,459.1,465.95,1827849,844919286.5,02-AUG-2017,33915,INE202B01012
DISHTV,81.2,82,80.75,81.6,80.75,81,1786889,145457433.15,02-AUG-2017,7947,INE836F01026
DIVISLAB,670,671.9,665,669.05,669.7,667.75,346352,231629111,02-AUG-2017,7755,INE361B01024
DLF,194.25,195.45,190.7,193.1,192.5,193.55,5609354,1085936854.8,02-AUG-2017,21398,INE271C01023
DRREDDY,2435.1,2439.9,2372.4,2378.55,2380,2431.55,570459,1368666303.55,02-AUG-2017,33446,INE089A01023
EICHERMOT,31750,31804.8,31051,31153.8,31065.65,31504.8,42381,1330171030.1,02-AUG-2017,17117,INE066A01013
ENGINERSIN,161.35,163.7,159.35,162.95,162.5,161,1680051,271527285.35,02-AUG-2017,10245,INE510A01028
EQUITAS,163,165,162.8,163.65,164,163.05,697466,114284861.85,02-AUG-2017,5472,INE988K01017
ESCORTS,707,709,690.1,694.75,691.05,701.05,2028839,1420123708.95,02-AUG-2017,31612,INE042A01014
EXIDEIND,225.95,225.95,220,221.95,220.95,223.8,1258192,279537974.65,02-AUG-2017,13145,INE302A01020
FEDERALBNK,115.45,115.65,114.05,114.8,114.55,115.1,5967479,685529839.05,02-AUG-2017,17248,INE171A01029
VEDL,281.1,282,278,280.95,279.95,282.05,5422178,1518589124.4,02-AUG-2017,48346,INE205A01025
VGUARD,181.9,183.75,179.5,181.45,181.5,180.8,1111755,202193944.6,02-AUG-2017,12745,INE951I01027
VOLTAS,535.5,556,522.05,542.35,543.55,533.65,6316855,3401754497.2,02-AUG-2017,80449,INE226A01021
WIPRO,294,297.7,293,293.8,293.6,294.8,2426114,715644355.55,02-AUG-2017,33440,INE075A01022
WOCKPHARMA,597,599.8,578,585.9,585,602.7,3530020,2073998452.7,02-AUG-2017,62386,INE049B01025
YESBANK,1830,1842.95,1813.05,1829,1820.55,1827.25,2013175,3685081276.7,02-AUG-2017,69383,INE528G01019
DABUR,300,307.3,297.2,305.1,305.8,300.7,1518665,462296448.2,03-AUG-2017,25901,INE016A01026
DALMIABHA,2624.65,2648.65,2592.9,2615.55,2612,2624.7,76793,201061679.8,03-AUG-2017,10990,INE439L01019
DCBBANK,199.4,199.4,194.05,195.2,194.55,199.4,1172876,229865017.45,03-AUG-2017,7416,INE503A01015
DHFL,460,460,446.25,450.85,451.3,460.8,1612049,732998680.1,03-AUG-2017,58235,INE202B01012
DISHTV,81.7,81.75,78.8,79.15,79.15,81.6,4375287,350047096.9,03-AUG-2017,8765,INE836F01026
DIVISLAB,675,684.7,667.5,670.05,668.9,669.05,604522,408512045.1,03-AUG-2017,13211,INE361B01024
DLF,192.5,196.3,189,190.25,189.2,193.1,6009655,1160516336.85,03-AUG-2017,25413,INE271C01023
DRREDDY,2388,2397,2314.35,2323.95,2321.6,2378.55,777585,1831252484.7,03-AUG-2017,44064,INE089A01023
EICHERMOT,31124,31399.95,30627.55,30726.05,30651.8,31153.8,34412,1062114052.8,03-AUG-2017,16565,INE066A01013
ENGINERSIN,162.6,163.2,158.1,159.7,158.75,162.95,1830509,294157232.75,03-AUG-2017,10953,INE510A01028
EQUITAS,164.5,165,160.55,161.6,160.95,163.65,936578,152234552.6,03-AUG-2017,7385,INE988K01017
ESCORTS,697.9,697.9,674,677.4,678,694.75,961756,658242347.45,03-AUG-2017,19254,INE042A01014
EXIDEIND,220.95,225.6,220,222.15,222.1,221.95,2188652,487871520.95,03-AUG-2017,23916,INE302A01020
FEDERALBNK,114.05,115,113.15,113.4,113.5,114.8,9066621,1033929613.2,03-AUG-2017,17656,INE171A01029
VEDL,280.9,283,277.4,279.95,279.25,280.95,5892361,1649493901,03-AUG-2017,51100,INE205A01025
VGUARD,181.5,182.2,178,180.9,181.2,181.45,913299,164206654.7,03-AUG-2017,12129,INE951I01027
VOLTAS,540.9,550,532.95,538.3,539.5,542.35,2375385,1289404798.9,03-AUG-2017,52542,INE226A01021
WIPRO,294.7,295.4,288.6,289.1,289.25,293.8,3645825,1063824007.65,03-AUG-2017,37727,INE075A01022
WOCKPHARMA,581,604,581,594.15,595.1,585.9,1526666,909728555.55,03-AUG-2017,25153,INE049B01025
YESBANK,1822,1828.9,1772.3,1785.45,1784.55,1829,2997605,5378597170.85,03-AUG-2017,107179,INE528G01019
DABUR,307.6,309.35,301.15,307.3,307,305.1,3312729,1013205206.3,04-AUG-2017,32524,INE016A01026
DALMIABHA,2638.8,2641.9,2556.85,2569.55,2563,2615.55,68618,177793966,04-AUG-2017,8002,INE439L01019
DCBBANK,194,196.55,192.8,195.1,194.5,195.2,1373077,267271253.5,04-AUG-2017,10208,INE503A01015
DHFL,448.95,458.3,443.25,456.7,456.55,450.85,1246601,563909997.05,04-AUG-2017,23628,INE202B01012
DISHTV,79.3,80.65,78.9,79.3,79.1,79.15,3238515,257964612.65,04-AUG-2017,11314,INE836F01026
DIVISLAB,669.05,699.95,660,682.15,685,670.05,1211462,822750197.5,04-AUG-2017,20989,INE361B01024
DLF,188.5,191.2,187.6,189.8,189.6,190.25,5101036,966796162.55,04-AUG-2017,23189,INE271C01023
DRREDDY,2315,2315.05,2230.1,2239.55,2238,2323.95,1226639,2772125168.15,04-AUG-2017,68535,INE089A01023
EICHERMOT,30665,31925,30500,31637.25,31700,30726.05,47523,1483909590.05,04-AUG-2017,14340,INE066A01013
ENGINERSIN,160.5,161.3,155.6,159.55,160,159.7,2663389,420788963.2,04-AUG-2017,14798,INE510A01028
EQUITAS,159,169,157.05,167.8,168,161.6,2421292,399462858.15,04-AUG-2017,17704,INE988K01017
ESCORTS,678.6,678.6,659.45,671.1,670.25,677.4,1002305,671165162.35,04-AUG-2017,18540,INE042A01014
EXIDEIND,221.5,221.5,215,215.8,215.95,222.15,2462482,533946812.95,04-AUG-2017,16432,INE302A01020
FEDERALBNK,113.35,114.9,112.25,114.25,114.15,113.4,7665047,872355604.4,04-AUG-2017,26864,INE171A01029
VEDL,279.9,289.9,278.1,288.85,288.4,279.95,10101816,2889940997.9,04-AUG-2017,72077,INE205A01025
VGUARD,183,183,179,181.65,182.2,180.9,602956,108820520.2,04-AUG-2017,8372,INE951I01027
VOLTAS,537.5,544.7,530.05,541.7,542.3,538.3,961460,515854034.15,04-AUG-2017,11567,INE226A01021
WIPRO,289.8,293.2,289,289.4,289.85,289.1,2548522,739263788.7,04-AUG-2017,25808,INE075A01022
WOCKPHARMA,591.05,602,579.8,599.75,599.15,594.15,624445,370995867.45,04-AUG-2017,11369,INE049B01025
YESBANK,1770,1815.25,1763.55,1807.95,1815.25,1785.45,2860985,5108742494.45,04-AUG-2017,86227,INE528G01019
DABUR,311,320,309.1,319.45,318.45,307.3,2371502,749548790.5,07-AUG-2017,39868,INE016A01026
DALMIABHA,2621.1,2716.95,2621.1,2652.1,2650,2569.55,123174,327327225.05,07-AUG-2017,8978,INE439L01019
DCBBANK,193.5,197.4,193.5,196.05,196.45,195.1,854795,167207773.8,07-AUG-2017,6668,INE503A01015
DHFL,459,462.5,454.6,456.75,456.35,456.7,1280797,587230220.1,07-AUG-2017,17113,INE202B01012
DISHTV,79.5,79.6,75.9,76.8,76.8,79.3,5158746,398818449.25,07-AUG-2017,13054,INE836F01026
DIVISLAB,686,692.7,680.85,684.05,681.45,682.15,427725,293981238.25,07-AUG-2017,11861,INE361B01024
DLF,190.05,193.4,190.05,191.35,191,189.8,4263872,818141452.9,07-AUG-2017,18634,INE271C01023
DRREDDY,2240,2257,2200,2206.95,2202,2239.55,736078,1641306908.35,07-AUG-2017,39569,INE089A01023
EICHERMOT,31700,32191,31651.35,31969.85,31960,31637.25,35910,1147635894.7,07-AUG-2017,11440,INE066A01013
ENGINERSIN,160.2,161.95,158.4,159.7,160,159.55,1417285,227119896.7,07-AUG-2017,9989,INE510A01028
EQUITAS,167.8,169.35,166.5,167.8,167.8,167.8,913338,153321761.7,07-AUG-2017,8504,INE988K01017
ESCORTS,674.95,683.05,669.55,672.7,671.35,671.1,1162293,786935512.8,07-AUG-2017,21903,INE042A01014
EXIDEIND,216,219.75,214.8,215.7,217.5,215.8,2256570,489059539.95,07-AUG-2017,18941,INE302A01020
FEDERALBNK,114.25,114.9,113.4,114.5,114.5,114.25,5649172,645617305.3,07-AUG-2017,14164,INE171A01029
VEDL,288.7,292.5,285.75,287.7,288.4,288.85,5848430,1688883551,07-AUG-2017,53699,INE205A01025
VGUARD,181.65,185.7,180.55,185.15,185.15,181.65,706102,129853106.8,07-AUG-2017,6442,INE951I01027
VOLTAS,545.8,546.3,535.1,536.85,537,541.7,784124,423253874.9,07-AUG-2017,9555,INE226A01021
WIPRO,289.6,289.9,287.1,287.75,287.95,289.4,1470499,423472772.1,07-AUG-2017,22278,INE075A01022
WOCKPHARMA,599.2,613.1,595.2,599.65,602,599.75,404748,244626810.2,07-AUG-2017,7889,INE049B01025
YESBANK,1810,1817,1793.75,1799.85,1798.5,1807.95,1331197,2403307232.55,07-AUG-2017,47615,INE528G01019
DABUR,320,323,313.2,314.95,316,319.45,1102440,349023206.4,08-AUG-2017,17173,INE016A01026
DALMIABHA,2654,2674.35,2582.8,2636.85,2642,2652.1,96402,253920439.1,08-AUG-2017,10969,INE439L01019
DCBBANK,196.35,196.35,183.45,185.55,186,196.05,2420913,457052497.7,08-AUG-2017,14979,INE503A01015
DHFL,457.4,461.5,446.5,448.85,449,456.75,1258837,569777148.2,08-AUG-2017,19148,INE202B01012
DISHTV,77.4,78,76.1,76.45,76.8,76.8,2935374,225785848.6,08-AUG-2017,9440,INE836F01026
DIVISLAB,684,685,670.5,673.7,674.9,684.05,360022,243739765.3,08-AUG-2017,10261,INE361B01024
DLF,191.55,192.5,176.75,178.6,178.9,191.35,11942033,2190295408.1,08-AUG-2017,47839,INE271C01023
DRREDDY,2205.8,2206.95,2084.85,2095.65,2089,2206.95,1360991,2918074107.9,08-AUG-2017,70288,INE089A01023
EICHERMOT,32018.95,32449.35,31471.6,32120.85,32170.45,31969.85,47878,1534335299.45,08-AUG-2017,19039,INE066A01013
ENGINERSIN,160.7,161.4,156,159.6,158.5,159.7,1872191,298177018.6,08-AUG-2017,15630,INE510A01028
EQUITAS,167.8,168.8,163.7,165.6,165.05,167.8,823454,136838410.7,08-AUG-2017,5042,INE988K01017
ESCORTS,674,674,649,651.25,649.45,672.7,943547,621757183.85,08-AUG-2017,26798,INE042A01014
EXIDEIND,217.3,218.45,212.8,214.25,214.5,215.7,2235121,480436492.25,08-AUG-2017,17783,INE302A01020
FEDERALBNK,115.4,115.4,112,112.3,112.4,114.5,9187466,1044028024.5,08-AUG-2017,17223,INE171A01029
VEDL,290.9,301.7,290.9,297.7,297.1,287.7,18777967,5603414597.35,08-AUG-2017,107643,INE205A01025
VGUARD,185.5,185.9,179.5,181.35,181.3,185.15,673514,122386327,08-AUG-2017,7423,INE951I01027
VOLTAS,536.85,541.8,528.2,537.45,535.25,536.85,878858,471074921.45,08-AUG-2017,12938,INE226A01021
WIPRO,291.3,291.55,284.9,287.4,287.05,287.75,2729913,783145739.7,08-AUG-2017,29313,INE075A01022
WOCKPHARMA,603.3,604.1,587.35,592.25,591.6,599.65,319297,189764390.55,08-AUG-2017,7461,INE049B01025
YESBANK,1799,1802,1754,1763.55,1763,1799.85,2329546,4123995981.9,08-AUG-2017,108756,INE528G01019
