SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
IBULHSGFIN,EQ,1249,1251.75,1224.2,1243.85,1249,1237.25,637444,790332427.05,02-APR-2018,33915,INE148I01020
ICICIBANK,EQ,273,273.85,258.8,261.85,262.4,278.35,73359584,19286273448.35,02-APR-2018,356245,INE090A01021
ICICIPRULI,EQ,389.5,390,376.15,384.7,385.1,388.6,1157554,442062511.35,02-APR-2018,9594,INE726G01019
IDBI,EQ,71,71.85,68.85,71.1,70.8,72.2,31102746,2197552466,02-APR-2018,68860,INE008A01015
IDEA,EQ,76.7,78.15,75.65,77.8,77.65,75.9,5478630,422059047.2,02-APR-2018,30709,INE669E01016
IDFC,EQ,49.05,50.4,48.85,50.2,50.1,48.75,2605023,129573801.3,02-APR-2018,5981,INE043D01016
IDFCBANK,EQ,48.2,48.3,47.55,47.95,48,47.35,6476289,310729710.35,02-APR-2018,23468,INE092T01019
IGL,EQ,284.5,285.4,277.25,279.35,278.85,279.45,2733421,766151794.05,02-APR-2018,30452,INE203G01027
INDIACEM,EQ,142.75,153.7,142.5,152.7,152.2,141.75,4259953,633480071.85,02-APR-2018,23632,INE383A01012
INDIANB,EQ,299.8,305.45,295.8,302.1,303,299.8,716639,215704908.85,02-APR-2018,8610,INE562A01011
INDIGO,EQ,1282,1336,1282,1328.7,1325,1290.45,524691,691540039.15,02-APR-2018,24493,INE646L01027
INDUSINDBK,EQ,1801.6,1809.9,1787.5,1804.6,1809.35,1796.75,663945,1196750196.2,02-APR-2018,39279,INE095A01012
INFIBEAM,EQ,149.25,154.45,149,152.05,151.65,148.5,27000107,4101759346.85,02-APR-2018,58866,INE483S01020
INFRATEL,EQ,336,344.4,335.9,337.65,339.2,336.15,1643242,560513348.8,02-APR-2018,83986,INE121J01017
INFY,EQ,1141,1149.55,1121.3,1137.15,1136.7,1131.8,4036351,4584716919.6,02-APR-2018,142078,INE009A01021
