SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
M&M,EQ,748.9,751.85,737.2,748.05,747.5,738.9,3567965,2659866487.6,02-APR-2018,66835,INE101A01026
M&MFIN,EQ,463,476,460,471.45,467.6,463.25,1217513,570999956.2,02-APR-2018,34430,INE774D01024
MANAPPURAM,EQ,109.9,113.35,108.6,112.55,113,109.05,2490419,276084843,02-APR-2018,16817,INE522D01027
MARICO,EQ,327.25,334.35,324.65,328.35,327.05,326.05,1249922,409324535.15,02-APR-2018,30871,INE196A01026
MARUTI,EQ,8990,9088,8953.25,9008.2,9015,8861.1,552649,4986920471.95,02-APR-2018,72289,INE585B01010
MCDOWELL-N,EQ,3135,3280,3135,3266.5,3258.15,3129.65,385352,1240729669.9,02-APR-2018,40274,INE854D01016
MCX,EQ,678,706,672.15,702.65,702.8,667.35,416150,288154050.95,02-APR-2018,13868,INE745G01035
MFSL,EQ,452.25,479,444.45,460.4,464.5,453.45,271056,123581831.3,02-APR-2018,5454,INE180A01020
MGL,EQ,965.1,1003,962.65,998,996.2,958.05,173243,169937053.85,02-APR-2018,10286,INE002S01010
MINDTREE,EQ,782,812.8,772.5,810.2,811,771.95,2650454,2127057290.65,02-APR-2018,72612,INE018I01017
MOTHERSUMI,EQ,315.8,327.4,313.25,323.4,324.75,310.95,2583641,832312469.45,02-APR-2018,66642,INE775A01035
MRPL,EQ,110.4,112,110.3,111.8,111.8,109.85,329735,36697289.2,02-APR-2018,3368,INE103A01014
MUTHOOTFIN,EQ,408.7,416.45,400.3,413.65,416,407.45,1034785,422231441.25,02-APR-2018,18151,INE414G01012
UBL,EQ,950,977.65,942.5,972.1,969.45,947.85,364910,349145832.9,02-APR-2018,13289,INE686F01025
UJJIVAN,EQ,346.5,352.35,343.1,350.2,350.6,345.45,698972,243352623.3,02-APR-2018,14646,INE334L01012
ULTRACEMCO,EQ,4123,4123,3923.05,3978.5,3968.65,3950,303869,1204904692.15,02-APR-2018,23954,INE481G01011
UNIONBANK,EQ,94.1,97.35,93.8,95.05,94.9,94,6112500,580921897.65,02-APR-2018,21242,INE692A01016
UPL,EQ,736.9,756,730.5,752.4,752,730.25,1257184,937205064.5,02-APR-2018,49775,INE628A01036
M&M,EQ,748,771.4,745.05,770.1,770,748.05,2500384,1901704645.35,03-APR-2018,49920,INE101A01026
M&MFIN,EQ,472.7,480.75,469.8,473.75,473.1,471.45,1480387,702721663.85,03-APR-2018,37210,INE774D01024
MANAPPURAM,EQ,112.55,114.9,111.8,114.4,114.25,112.55,2541043,289149022.5,03-APR-2018,13544,INE522D01027
MARICO,EQ,327.85,328.75,320.6,325,325,328.35,1112660,360842159.3,03-APR-2018,12980,INE196A01026
MARUTI,EQ,9008.95,9060,8955,9026.45,9022,9008.2,339709,3059925390.95,03-APR-2018,40301,INE585B01010
MCDOWELL-N,EQ,3256.9,3263.35,3191,3248.8,3247.05,3266.5,239513,773678553.7,03-APR-2018,15529,INE854D01016
MCX,EQ,699.85,739,695.15,732.75,730,702.65,726770,526284281.75,03-APR-2018,21744,INE745G01035
MFSL,EQ,462,468.85,456.05,464.5,462.5,460.4,438736,202499313.75,03-APR-2018,17712,INE180A01020
