SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
NATIONALUM,EQ,66.6,67.65,66.2,67.3,67,66.45,2109332,141429512.8,02-APR-2018,11687,INE139A01034
NBCC,EQ,195.1,201,192.75,199,200.9,190.4,1805026,353852766.25,02-APR-2018,18779,INE095N01023
NCC,EQ,118.45,120.25,117.25,119.75,119.95,117.55,2490989,296592763.8,02-APR-2018,12898,INE868B01028
NESTLEIND,EQ,8199.85,8340,8169.95,8308.95,8282.1,8203.55,61024,505299936.05,02-APR-2018,11200,INE239A01016
NIITTECH,EQ,820,892.5,820,881.4,879.25,865,2246495,1973046520.3,02-APR-2018,55685,INE591G01017
NMDC,EQ,118.5,118.5,117.45,117.85,118.05,118.55,1787203,210677539.35,02-APR-2018,15787,INE584A01023
NTPC,EQ,169.9,170.85,168.1,170.4,170.55,169.7,2805938,475695199.7,02-APR-2018,38453,INE733E01010
OFSS,EQ,3788.95,3998.95,3760,3938.45,3925.9,3745.35,35671,137726619.35,02-APR-2018,4542,INE881D01027
OIL,EQ,220.5,231,216.3,227.05,228,216.35,1524529,341823421.5,02-APR-2018,18715,INE274J01014
ONGC,EQ,179.1,180.9,178.4,179.95,180.3,177.8,2235832,401706122.55,02-APR-2018,41523,INE213A01029
ORIENTBANK,EQ,91.75,94.85,90.55,93.6,93.9,91.6,3173535,294773333.45,02-APR-2018,12628,INE141A01014
PAGEIND,EQ,22350,22639.95,22021.3,22216.55,22099.95,22684.55,16649,371656615.1,02-APR-2018,4249,INE761H01022
PCJEWELLER,EQ,323.5,328.6,305.65,313.2,312.5,320.2,5872193,1849598006.15,02-APR-2018,58712,INE785M01013
PEL,EQ,2450,2480,2421.15,2471.1,2473.6,2432.85,152899,373633275.6,02-APR-2018,22713,INE140A01024
PETRONET,EQ,231.55,234.35,230.25,230.85,230.7,230.95,2235540,517554973.5,02-APR-2018,52190,INE347G01014
PFC,EQ,85.1,87.75,85.1,87.1,87,85.65,4255672,370793095.2,02-APR-2018,30419,INE134E01011
PIDILITIND,EQ,918.5,944.7,918.45,941.4,939.25,917.8,822645,772195035.1,02-APR-2018,18800,INE318A01026
PNB,EQ,96.3,96.85,95.4,96.3,96.4,95.3,13543335,1301912749.2,02-APR-2018,40903,INE160A01022
POWERGRID,EQ,192.9,195.2,192.9,194.9,194.8,193.25,3837160,745994306.4,02-APR-2018,75736,INE752E01010
PTC,EQ,87.5,91.65,87.2,91.05,91,87.4,1156709,103701622.5,02-APR-2018,6954,INE877F01012
PVR,EQ,1238,1240,1221.35,1233.1,1233.1,1215.25,83452,102821936.75,02-APR-2018,7404,INE191H01014
NATIONALUM,EQ,66.5,69,66.5,68.15,68.65,67.3,4183788,283651331.45,03-APR-2018,10733,INE139A01034
NBCC,EQ,208.4,214,206,210.2,210.05,199,9029294,1900710386.4,03-APR-2018,73795,INE095N01023
NCC,EQ,119.45,127.9,119.1,127.3,127.5,119.75,5853000,729956112.75,03-APR-2018,22437,INE868B01028
NESTLEIND,EQ,8299.9,8379.9,8279.95,8343.95,8349.9,8308.95,60612,505299531.6,03-APR-2018,7993,INE239A01016
NIITTECH,EQ,880.85,892.35,872,883.25,883.3,881.4,946913,836333710.9,03-APR-2018,26415,INE591G01017
NMDC,EQ,117,118.9,117,118.6,118.7,117.85,1236568,146122512.4,03-APR-2018,7222,INE584A01023
NTPC,EQ,170.8,171.9,168.6,169.35,169.05,170.4,3717328,630568254.5,03-APR-2018,19861,INE733E01010
OFSS,EQ,3901,4060.95,3901,4030.9,4031,3938.45,33414,133694865.2,03-APR-2018,9063,INE881D01027
OIL,EQ,225,225,220.25,221.05,221,227.05,789750,175536645.65,03-APR-2018,16070,INE274J01014
ONGC,EQ,177.7,179.2,176.4,177.5,177.3,179.95,3552271,630244783.8,03-APR-2018,70452,INE213A01029
ORIENTBANK,EQ,94.3,97.25,92.8,94.9,95.2,93.6,3316088,314474607.65,03-APR-2018,12822,INE141A01014
PAGEIND,EQ,22099.8,22369.9,21868.25,22258,22199.8,22216.55,15229,338177078.3,03-APR-2018,5294,INE761H01022
PCJEWELLER,EQ,313,321.25,310.6,313.5,313.3,313.2,4666943,1469173970.15,03-APR-2018,45849,INE785M01013
PEL,EQ,2466,2522.15,2445,2495.6,2495.1,2471.1,165933,412744378.3,03-APR-2018,13017,INE140A01024
PETRONET,EQ,230.05,233.35,228.4,232,231.5,230.85,3148494,728636306,03-APR-2018,34454,INE347G01014
PFC,EQ,86.6,88.25,86.15,87.85,88,87.1,3559037,309641034.65,03-APR-2018,13403,INE134E01011
PIDILITIND,EQ,940.35,965,937.2,963.15,962.95,941.4,770460,735940425.35,03-APR-2018,31423,INE318A01026
PNB,EQ,97.55,98.9,94.65,95.45,95.5,96.3,25344799,2441461327.35,03-APR-2018,78143,INE160A01022
POWERGRID,EQ,194.8,199.5,194.55,198.55,198.65,194.9,3526792,697024128.2,03-APR-2018,79311,INE752E01010
PTC,EQ,90.6,94,89.3,93,93.4,91.05,1741396,158432831.45,03-APR-2018,12587,INE877F01012
PVR,EQ,1233,1258.5,1220.3,1248.15,1248,1233.1,202956,252371829.45,03-APR-2018,14075,INE191H01014
NATIONALUM,EQ,69,71.5,68.7,70.1,70.1,68.15,14411509,1015527518.45,04-APR-2018,45084,INE139A01034
NBCC,EQ,211,211.6,202.1,203,202.8,210.2,2765561,570959187.9,04-APR-2018,26917,INE095N01023
NCC,EQ,128,129.3,124.15,125.65,125.5,127.3,7089464,902631259.8,04-APR-2018,29515,INE868B01028
NESTLEIND,EQ,8322,8399,8312,8351.05,8312,8343.95,66915,559739271.3,04-APR-2018,6556,INE239A01016
NIITTECH,EQ,890,895.7,862,866.3,865.8,883.25,1225145,1077678042.45,04-APR-2018,27378,INE591G01017
NMDC,EQ,119.4,120.3,115.55,115.9,116,118.6,3147593,370692617.35,04-APR-2018,13672,INE584A01023
NTPC,EQ,169.15,169.35,165.5,166.55,165.8,169.35,3331860,558508846.3,04-APR-2018,33605,INE733E01010
OFSS,EQ,4026.1,4032.05,3885.5,3923.2,3920,4030.9,22427,88278120.85,04-APR-2018,5049,INE881D01027
OIL,EQ,223.9,223.9,215.1,215.8,215.8,221.05,1002537,219016729.75,04-APR-2018,15378,INE274J01014
ONGC,EQ,178.5,178.5,174.7,175.4,175,177.5,3353172,590177729.65,04-APR-2018,40168,INE213A01029
ORIENTBANK,EQ,95.1,97.2,91.65,92.55,92.6,94.9,3494264,330855158.3,04-APR-2018,11629,INE141A01014
PAGEIND,EQ,22399,23197.6,22226,22685.1,22627.6,22258,25231,574849620.3,04-APR-2018,7255,INE761H01022
PCJEWELLER,EQ,316,317.6,296.55,298.6,297.9,313.5,9140108,2782772302.65,04-APR-2018,90327,INE785M01013
PEL,EQ,2502,2537.6,2448,2463.7,2470,2495.6,192484,480951478.4,04-APR-2018,20273,INE140A01024
PETRONET,EQ,232.8,233.25,229.45,230.85,230.45,232,2091054,482539065.55,04-APR-2018,37132,INE347G01014
