SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
GAIL,377.5,380.8,372.65,373.85,373.3,376.75,2225107,834805987.7,01-AUG-2017,74011,INE129A01019
GLENMARK,705,716,696,699.85,698.5,697.05,1093719,771684657.9,01-AUG-2017,25125,INE935A01035
GODFRYPHLP,1135.1,1140,1117,1123.95,1120,1130.6,91999,103535421.4,01-AUG-2017,2634,INE260B01028
GODREJCP,1010,1020,955,964.4,965,1037.25,2971850,2887982976.7,01-AUG-2017,82172,INE102D01028
GODREJIND,666.8,668.55,651.5,654.65,655.05,663,322811,212623729.95,01-AUG-2017,11747,INE233A01035
GRANULES,136.45,138.95,135.5,137.8,138,136.2,1151210,158472231.45,01-AUG-2017,9622,INE101D01020
GRASIM,1065,1102,1065,1099.4,1096.3,1070.25,1112239,1208978750.2,01-AUG-2017,26536,INE047A01021
GSFC,138.45,138.6,133.8,135.45,136,137.7,1075210,146005132.35,01-AUG-2017,5578,INE026A01025
HAVELLS,473.2,475.35,466,467.6,466.5,472.8,1170715,550585461.7,01-AUG-2017,31511,INE176B01034
HCLTECH,889,898,878,884.2,888,892.9,1332277,1175963943.6,01-AUG-2017,49241,INE860A01027
HDFC,1787.25,1799,1754.7,1779.1,1784.1,1789.25,3259641,5766780770.7,01-AUG-2017,105776,INE001A01036
HDFCBANK,1781.85,1809.15,1772.2,1797.2,1806,1784.4,2129215,3805526020.35,01-AUG-2017,39634,INE040A01026
HDIL,87.4,87.7,82.4,85.45,85.45,86.75,7746527,666139019.7,01-AUG-2017,23794,INE191I01012
HEROMOTOCO,3675,3737.65,3668.05,3727.85,3733,3655.75,685598,2535667299.4,01-AUG-2017,38264,INE158A01026
HEXAWARE,265.4,267.2,255,256.45,255.25,261.95,3276195,848082560.75,01-AUG-2017,24178,INE093A01033
HINDALCO,221.1,226.65,221.1,225.75,225.6,219.65,10837725,2439638773.4,01-AUG-2017,108001,INE038A01020
HINDPETRO,383.2,391.85,381.4,386.75,386.45,383.2,4466496,1732047782.3,01-AUG-2017,51897,INE094A01015
HINDUNILVR,1154,1176.9,1154,1173.95,1174.45,1155.75,1359063,1591148850.05,01-AUG-2017,37938,INE030A01027
HINDZINC,283,284,280.3,282.25,282,282.9,1316008,371186687.7,01-AUG-2017,26777,INE267A01025
GAIL,374.7,375.8,368.1,369.9,368.1,373.85,927308,345255858.6,02-AUG-2017,13906,INE129A01019
GLENMARK,698.5,705,698,703.3,703,699.85,388339,272628244.6,02-AUG-2017,20955,INE935A01035
GODFRYPHLP,1124.7,1136,1080.2,1091.45,1086,1123.95,101912,112814548,02-AUG-2017,4307,INE260B01028
GODREJCP,974,974,915,920.25,916,964.4,3175540,2965409072.15,02-AUG-2017,116732,INE102D01028
GODREJIND,655.5,658.3,643.75,647.65,645.3,654.65,275981,179105904.7,02-AUG-2017,11330,INE233A01035
GRANULES,137.85,138.65,135.3,136.3,135.6,137.8,1073330,146786823.75,02-AUG-2017,10240,INE101D01020
GRASIM,1090,1111,1087.15,1105.15,1106,1099.4,579283,636571990.8,02-AUG-2017,24007,INE047A01021
GSFC,136.5,141.25,135.8,137,136.8,135.45,5454266,756819179.4,02-AUG-2017,19552,INE026A01025
