SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
JETAIRWAYS,602.1,607,592.2,595.5,592.75,596.7,1257476,753809769.5,01-AUG-2017,17555,INE802G01018
JINDALSTEL,154.5,157,153.5,155.05,155.25,153.4,6201163,960559140.9,01-AUG-2017,26634,INE749A01030
JISLJALEQS,106.25,106.7,105,105.35,105.2,106.05,2478310,262165180.9,01-AUG-2017,11336,INE175A01038
JPASSOCIAT,29.8,29.8,28.25,28.45,28.3,29.4,93706856,2705012184.4,01-AUG-2017,55447,INE455F01025
JSWSTEEL,222.1,225.35,220.2,223.15,224.85,221.25,5408688,1206050804.1,01-AUG-2017,34943,INE019A01038
JUBLFOOD,1307.6,1321.25,1283.8,1293.95,1293,1317.75,563946,733989347.3,01-AUG-2017,16853,INE797F01012
JUSTDIAL,380,380,370.1,371,371,378.55,1095311,409180041.55,01-AUG-2017,20271,INE599M01018
KAJARIACER,683.4,686.65,664.3,673.3,670.15,676.65,202243,136436788.1,01-AUG-2017,6719,INE217B01036
KOTAKBANK,1024,1024,1011,1015.3,1011.25,1021.65,2063948,2096751585.8,01-AUG-2017,64779,INE237A01028
KPIT,129.55,129.95,127.55,129.2,129.2,127.95,1201499,155063644.1,01-AUG-2017,9766,INE836A01035
KSCL,695,697.5,679.15,681.75,681.4,692.35,466271,319854722.25,01-AUG-2017,7538,INE455I01029
KTKBANK,154.3,154.85,152.5,152.9,152.9,153.9,1079399,165716768.25,01-AUG-2017,8427,INE614B01018
L&TFH,175,175.8,172.25,173.45,173.3,175,3314173,575222493.05,01-AUG-2017,23425,INE498L01015
LICHSGFIN,690.75,698.3,677.15,690.95,692.15,690.45,3597159,2479803441.55,01-AUG-2017,80521,INE115A01026
LT,1198.25,1198.25,1171.7,1190.05,1186.7,1193.95,2721660,3219773889.45,01-AUG-2017,58352,INE018A01030
LUPIN,1038,1038.8,1016.1,1017.9,1018.95,1032,2668911,2739317711.6,01-AUG-2017,101586,INE326A01037
JETAIRWAYS,597,601,588.45,591.35,590.75,595.5,907780,540050345.5,02-AUG-2017,17318,INE802G01018
JINDALSTEL,155.1,159.4,153.6,158.4,157.8,155.05,13676016,2138095939.9,02-AUG-2017,57894,INE749A01030
JISLJALEQS,105,105.95,103.95,104.5,104.15,105.35,2744709,288063172.15,02-AUG-2017,7279,INE175A01038
JPASSOCIAT,28.1,28.4,25.45,25.95,25.75,28.45,177235350,4747786830.2,02-AUG-2017,103104,INE455F01025
JSWSTEEL,223.9,223.9,215.2,219.75,219.15,223.15,7699742,1684777545.2,02-AUG-2017,57325,INE019A01038
JUBLFOOD,1280.2,1306,1269.65,1280.75,1280,1293.95,662368,854736351.3,02-AUG-2017,19495,INE797F01012
JUSTDIAL,371.8,376.55,363.25,365.35,363.4,371,1499691,555588666.05,02-AUG-2017,18084,INE599M01018
KAJARIACER,676.6,677,646.45,657.7,657,673.3,157978,104196058.9,02-AUG-2017,4526,INE217B01036
KOTAKBANK,1015.8,1023.25,1005.2,1010.9,1007.8,1015.3,1119072,1134447476,02-AUG-2017,30670,INE237A01028
KPIT,128.05,131,127.3,128.15,128.3,129.2,1184224,153247235.95,02-AUG-2017,13884,INE836A01035
KSCL,682,699.4,681,690.2,688.9,681.75,1077912,745569033.6,02-AUG-2017,26986,INE455I01029
KTKBANK,153.1,153.9,151.75,152.9,152.5,152.9,1617432,246874569.35,02-AUG-2017,10520,INE614B01018
L&TFH,174.35,176.7,172.5,175.35,174.75,173.45,4722032,826732472.4,02-AUG-2017,25376,INE498L01015
LICHSGFIN,694.8,697.9,690.25,693.15,692.95,690.95,1958294,1358861537.75,02-AUG-2017,35603,INE115A01026
LT,1191,1191.85,1172.5,1176.8,1175.05,1190.05,2154488,2540596134.8,02-AUG-2017,70379,INE018A01030
LUPIN,1026.1,1055,1020,1034.95,1033.05,1017.9,7625546,7913032758.9,02-AUG-2017,171783,INE326A01037
JETAIRWAYS,592.9,599,584.05,588.15,584.75,591.35,1121303,663871926.65,03-AUG-2017,16539,INE802G01018
JINDALSTEL,157,157,139.85,142.1,141.95,158.4,28593865,4228049877.25,03-AUG-2017,121189,INE749A01030
JISLJALEQS,104.5,104.65,101.2,101.6,101.4,104.5,2602834,267018727.5,03-AUG-2017,8827,INE175A01038
JPASSOCIAT,25.8,26.25,24.15,25,24.85,25.95,204551255,5148568498,03-AUG-2017,118197,INE455F01025
JSWSTEEL,219.75,225,216.1,223.35,223,219.75,6614853,1464672520.3,03-AUG-2017,41882,INE019A01038
JUBLFOOD,1286,1293.9,1250,1254.8,1250.6,1280.75,541181,686759611.9,03-AUG-2017,14982,INE797F01012
JUSTDIAL,367.9,369,355.55,356.9,356.8,365.35,1300785,472068880.75,03-AUG-2017,16059,INE599M01018
KAJARIACER,655.7,659.95,640.2,644.5,645,657.7,164327,106898852.9,03-AUG-2017,10559,INE217B01036
KOTAKBANK,1009.9,1009.9,994,996.4,994,1010.9,1152115,1150202821.3,03-AUG-2017,43679,INE237A01028
KPIT,128.25,128.85,125,126.1,125.35,128.15,635727,80276665.2,03-AUG-2017,11674,INE836A01035
KSCL,690.7,705.8,686.35,694,693,690.2,782867,545936626.85,03-AUG-2017,11385,INE455I01029
KTKBANK,153,153.35,148.2,149.2,148.85,152.9,2384514,358814305.25,03-AUG-2017,17015,INE614B01018
L&TFH,175,175.2,169.4,170.9,171,175.35,3990422,686206094.8,03-AUG-2017,29595,INE498L01015
LICHSGFIN,692.95,698.75,676,681,680,693.15,2258508,1559859561.1,03-AUG-2017,40242,INE115A01026
LT,1179.9,1184.65,1167.65,1174.75,1173,1176.8,1426006,1675777909.2,03-AUG-2017,49170,INE018A01030
LUPIN,1032,1060,985,993.4,986.6,1034.95,7852897,8005580206.35,03-AUG-2017,195599,INE326A01037
JETAIRWAYS,589,614,584.05,609.4,614,588.15,1421406,852743935.35,04-AUG-2017,27201,INE802G01018
JINDALSTEL,141.5,144.75,135.4,138.35,138.35,142.1,19765790,2752568662.35,04-AUG-2017,82370,INE749A01030
JISLJALEQS,102,103,100.85,102.1,102.1,101.6,2899353,295376526.35,04-AUG-2017,10198,INE175A01038
JPASSOCIAT,24.95,25.9,24.3,25.35,25.25,25,109200230,2768316836.1,04-AUG-2017,64655,INE455F01025
JSWSTEEL,222,229.05,222,228.25,228.2,223.35,5030815,1139726532.9,04-AUG-2017,48575,INE019A01038
JUBLFOOD,1256,1286,1246.8,1279.3,1279.95,1254.8,789359,999217861.35,04-AUG-2017,25369,INE797F01012
JUSTDIAL,356.35,356.35,347.65,352.5,353.7,356.9,1972940,693736881.55,04-AUG-2017,22064,INE599M01018
KAJARIACER,645,652,641.1,648,649.55,644.5,206004,133238685.75,04-AUG-2017,5253,INE217B01036
KOTAKBANK,999,999.6,988.55,996.2,995.95,996.4,1187275,1180642265.85,04-AUG-2017,38874,INE237A01028
KPIT,125,126.25,122.25,124.1,124,126.1,2087799,258958162.75,04-AUG-2017,16034,INE836A01035
KSCL,693,699.5,689.2,697.65,697.05,694,570427,396598834.65,04-AUG-2017,9661,INE455I01029
KTKBANK,148.9,149.95,147.5,148.7,148.25,149.2,2075710,308242563.35,04-AUG-2017,25983,INE614B01018
L&TFH,169.75,174.5,169.5,174,174.45,170.9,3474367,599773582,04-AUG-2017,27132,INE498L01015
LICHSGFIN,681,687,672.8,684.65,684.6,681,1112424,758866694.6,04-AUG-2017,38596,INE115A01026
LT,1174,1181.95,1169.7,1175.85,1176.7,1174.75,1082867,1272079913.3,04-AUG-2017,27840,INE018A01030
LUPIN,989.5,997.8,963,992.8,990.05,993.4,4195398,4113528387.4,04-AUG-2017,93808,INE326A01037
JETAIRWAYS,615,637.35,610.1,633.9,633.5,609.4,2693245,1681063466.7,07-AUG-2017,37553,INE802G01018
JINDALSTEL,139.9,145.5,139.75,143.55,143.6,138.35,14571995,2092325113.35,07-AUG-2017,50063,INE749A01030
JISLJALEQS,102.8,102.8,100.85,101.35,101.15,102.1,3651041,371229056.7,07-AUG-2017,5646,INE175A01038
JPASSOCIAT,27.5,30.15,27,28.95,28.85,25.35,155900716,4507642443.2,07-AUG-2017,105812,INE455F01025
JSWSTEEL,228.6,232,227.85,229.05,229.3,228.25,3218107,738975831.65,07-AUG-2017,24186,INE019A01038
JUBLFOOD,1270.1,1286,1258,1264.55,1265,1279.3,352060,446883928.1,07-AUG-2017,11858,INE797F01012
JUSTDIAL,354.6,375.7,350.95,373.85,373.5,352.5,3781635,1392151180.35,07-AUG-2017,41935,INE599M01018
KAJARIACER,654.9,654.9,636.75,639.2,641.45,648,238247,152621240.4,07-AUG-2017,6260,INE217B01036
KOTAKBANK,1000.15,1001.95,994.3,997.9,996.75,996.2,619240,617739578.7,07-AUG-2017,26600,INE237A01028
KPIT,124.9,125.3,122.3,123.3,123.2,124.1,692760,85359020.25,07-AUG-2017,8535,INE836A01035
KSCL,705,708,685,693.8,689.7,697.65,482198,336760440.75,07-AUG-2017,7931,INE455I01029
KTKBANK,149.3,155.55,149.2,154.9,154.8,148.7,2207205,337868633,07-AUG-2017,13303,INE614B01018
L&TFH,175.65,178.25,174.55,176.4,176.5,174,3878232,685308249.7,07-AUG-2017,26366,INE498L01015
LICHSGFIN,688,692.2,680.7,687.55,688.5,684.65,1963882,1348257390.25,07-AUG-2017,29730,INE115A01026
LT,1176.7,1184.6,1172,1179.95,1180.2,1175.85,1035670,1220326848.25,07-AUG-2017,42771,INE018A01030
LUPIN,993.8,1004,980.55,985.05,982.1,992.8,1416550,1405945648.7,07-AUG-2017,40010,INE326A01037
JETAIRWAYS,630.15,646,626.1,630.2,631.25,633.9,2991187,1904829240.45,08-AUG-2017,37052,INE802G01018
JINDALSTEL,145.4,148.4,138,139.5,139.75,143.55,21958214,3144024978.95,08-AUG-2017,85983,INE749A01030
JISLJALEQS,102,106,100,103.15,103.1,101.35,6957672,720540862,08-AUG-2017,25670,INE175A01038
JPASSOCIAT,29.1,29.4,25.85,26.2,26.3,28.95,160897238,4341548922.65,08-AUG-2017,92231,INE455F01025
JSWSTEEL,229.35,232.95,225.05,230.85,231.5,229.05,4253146,978494172.95,08-AUG-2017,32503,INE019A01038
JUBLFOOD,1275.2,1345,1255,1330.8,1337.2,1264.55,1674075,2180743309.4,08-AUG-2017,50507,INE797F01012
JUSTDIAL,374,376.4,362.85,365.35,363.8,373.85,1624431,598308458.3,08-AUG-2017,18084,INE599M01018
KAJARIACER,643,654,639.35,642.35,642.95,639.2,123330,79851882.05,08-AUG-2017,5530,INE217B01036
KOTAKBANK,1000,1000,980.1,987.7,986.95,997.9,1222642,1206221137.45,08-AUG-2017,40822,INE237A01028
KPIT,123.5,124.65,120.15,120.7,121.1,123.3,761781,92978464.45,08-AUG-2017,8911,INE836A01035
KSCL,695,704.05,648.5,659,649,693.8,2686558,1822806075,08-AUG-2017,41326,INE455I01029
KTKBANK,155,155.25,149.95,150.75,150.25,154.9,2154136,328025612.9,08-AUG-2017,20377,INE614B01018
L&TFH,176.95,178.7,172.45,175.4,174.9,176.4,6120329,1078407523.75,08-AUG-2017,34285,INE498L01015
LICHSGFIN,684.25,687.8,673,681.1,680.5,687.55,2015826,1372720634.55,08-AUG-2017,44070,INE115A01026
LT,1180,1186,1164,1171.2,1168.4,1179.95,1531255,1795137292.35,08-AUG-2017,38432,INE018A01030
LUPIN,988.8,992.45,970.4,974.5,974,985.05,1097894,1073811272.75,08-AUG-2017,51924,INE326A01037
JETAIRWAYS,628.9,636.75,609.1,613.7,612.6,630.2,1480023,925712415.4,09-AUG-2017,23967,INE802G01018
JINDALSTEL,142,143.9,134.25,135.95,134.95,139.5,15924281,2231539743.3,09-AUG-2017,66677,INE749A01030
JISLJALEQS,103.05,104.05,98.1,99.4,98.8,103.15,8015979,806257059.9,09-AUG-2017,20345,INE175A01038
JPASSOCIAT,25.7,26.1,23.7,25.6,25.55,26.2,142549932,3580322042.8,09-AUG-2017,88338,INE455F01025
JSWSTEEL,230.8,233.5,228.2,230.45,229.5,230.85,3591242,828984161.3,09-AUG-2017,35584,INE019A01038
JUBLFOOD,1342,1355.75,1283.25,1299.2,1297,1330.8,1763170,2336496629,09-AUG-2017,47613,INE797F01012
JUSTDIAL,361.4,371.1,357.2,361.75,359,365.35,1767552,642700001.25,09-AUG-2017,19964,INE599M01018
KAJARIACER,637.3,641.85,618.95,621.15,621.55,642.35,179235,112149463.7,09-AUG-2017,7981,INE217B01036
KOTAKBANK,989,999.7,979.3,992.4,993.3,987.7,1131399,1119030721.15,09-AUG-2017,38791,INE237A01028
KPIT,121.7,123.05,114.8,116.1,115.5,120.7,1950166,232273501.55,09-AUG-2017,15274,INE836A01035
KSCL,648,649,585,609.15,591,659,1720126,1079097369.7,09-AUG-2017,29374,INE455I01029
KTKBANK,150.55,151.85,145,146.4,145.25,150.75,1877281,279540884.1,09-AUG-2017,14898,INE614B01018
L&TFH,174.35,176.7,170.7,172.15,170.7,175.4,4403356,767819912.75,09-AUG-2017,28614,INE498L01015
LICHSGFIN,679.9,685.25,673.1,676.9,673.7,681.1,907035,617669816.05,09-AUG-2017,17746,INE115A01026
LT,1171,1171,1148,1153.9,1153,1171.2,1439328,1671735522.6,09-AUG-2017,38916,INE018A01030
LUPIN,974,977.8,950,952.95,951,974.5,1347325,1296010731.45,09-AUG-2017,57778,INE326A01037
JETAIRWAYS,615,615,550.3,560.3,562,613.7,3028441,1744432917.5,10-AUG-2017,38516,INE802G01018
JINDALSTEL,135,135,116.3,123.3,127,135.95,16399537,2107381290.05,10-AUG-2017,68548,INE749A01030
JISLJALEQS,97.55,98.7,89,92.15,95,99.4,6146616,579245324.85,10-AUG-2017,19323,INE175A01038
JPASSOCIAT,25.4,25.85,22.4,23.3,23.9,25.6,124038759,3044047619.9,10-AUG-2017,69759,INE455F01025
JSWSTEEL,229,229.45,218.45,222.75,224.05,230.45,5725478,1283438582.75,10-AUG-2017,48416,INE019A01038
JUBLFOOD,1298,1352.4,1267.2,1317.95,1320,1299.2,1926331,2549898455.7,10-AUG-2017,53522,INE797F01012
JUSTDIAL,359,365,330.7,339.2,345,361.75,1951880,692978029.95,10-AUG-2017,23268,INE599M01018
KAJARIACER,606.5,645.9,600.15,634.85,627.15,621.15,791122,494670858.5,10-AUG-2017,20116,INE217B01036
KOTAKBANK,994.9,1002.5,983.05,996.8,994,992.4,2495164,2482770080.55,10-AUG-2017,39899,INE237A01028
KPIT,113.9,117.5,106.1,108.75,109.8,116.1,2001728,225395289.35,10-AUG-2017,13854,INE836A01035
