"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","22-Feb-2018","28-Mar-2018","CE","9100","1260","1292.35","1252.65","1276.85","1275","1276.85","142","1104.09","134.94","15675","7650","-"
"NIFTY","22-Feb-2018","28-Mar-2018","CE","9150","0","0","0","1473.4","0","1294.25","0","0","0","0","0","-"
"NIFTY","22-Feb-2018","28-Mar-2018","CE","9200","1162.6","1202.5","1150","1174.9","1176.5","1174.9","435","3380.16","378.66","65550","24975","-"
"NIFTY","22-Feb-2018","28-Mar-2018","CE","9250","0","0","0","1375.4","0","1195.15","0","0","0","0","0","-"
"NIFTY","22-Feb-2018","28-Mar-2018","CE","9300","1074.4","1106.1","1052","1083.15","1073","1083.15","355","2759.3","283.18","71775","23625","-"
"NIFTY","22-Feb-2018","28-Mar-2018","CE","9350","0","0","0","1277.7","0","1096.2","0","0","0","0","0","-"
"NIFTY","22-Feb-2018","28-Mar-2018","CE","9400","979.25","1008.35","960","980.1","977","980.1","243","1888.99","175.84","74250","13575","-"
"NIFTY","22-Feb-2018","28-Mar-2018","CE","9450","0","0","0","1180.5","0","997.65","0","0","0","0","0","-"
"NIFTY","22-Feb-2018","28-Mar-2018","CE","9500","863.95","918.4","863.9","890.3","882","890.3","2083","16214.76","1373.38","621000","111750","-"
"NIFTY","22-Feb-2018","28-Mar-2018","CE","9550","0","0","0","1084","0","899.85","0","0","0","0","0","-"
"NIFTY","22-Feb-2018","28-Mar-2018","CE","9600","775","817.5","775","792.75","790.95","792.75","106","825.76","62.56","27600","5850","-"
"NIFTY","22-Feb-2018","28-Mar-2018","CE","9650","0","0","0","988.65","0","803.2","0","0","0","0","0","-"
"NIFTY","22-Feb-2018","28-Mar-2018","CE","8000","2350.45","2392","2335","2363.5","2367.65","2363.5","168","1304.66","296.66","95475","6975","-"
"NIFTY","22-Feb-2018","28-Mar-2018","CE","8100","0","0","0","1612.7","0","2337.1","0","0","0","0","0","-"
