"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","25-Jan-2018","22-Feb-2018","CE","10050","0","0","0","411.75","0","1068.7","0","0","0","0","0","11069.65"
"NIFTY","25-Jan-2018","22-Feb-2018","CE","10100","1003.15","1012.15","934.4","961.15","960.5","961.15","1613","13395.7","1177.22","170475","95175","11069.65"
"NIFTY","25-Jan-2018","22-Feb-2018","CE","8550","2511.9","2526.6","2446.6","2477.95","2480","2477.95","311","2575.26","580.98","27825","22275","11069.65"
"NIFTY","25-Jan-2018","22-Feb-2018","CE","8600","2470","2484","2400","2431.2","2432.8","2431.2","4945","40993.35","9098.1","950625","360450","11069.65"
"NIFTY","25-Jan-2018","22-Feb-2018","CE","8650","0","0","0","1593.55","0","2461.85","0","0","0","0","0","11069.65"
"NIFTY","25-Jan-2018","22-Feb-2018","CE","8700","2372","2378","2308.2","2334.35","2334","2334.35","266","2201.31","465.66","25350","19350","11069.65"
"NIFTY","25-Jan-2018","22-Feb-2018","CE","8750","0","0","0","1604.2","0","2362.3","0","0","0","0","0","11069.65"
"NIFTY","25-Jan-2018","22-Feb-2018","CE","8800","2272.25","2280.55","2209","2232.65","2226.3","2232.65","64","530.54","108.14","56025","4125","11069.65"
"NIFTY","25-Jan-2018","22-Feb-2018","CE","8850","0","0","0","1505.75","0","2262.8","0","0","0","0","0","11069.65"
"NIFTY","25-Jan-2018","22-Feb-2018","CE","8900","2163.8","2176.1","2117.2","2135","2135","2135","30","248.52","48.27","41100","1875","11069.65"
"NIFTY","25-Jan-2018","22-Feb-2018","CE","8950","0","0","0","1407.4","0","2163.3","0","0","0","0","0","11069.65"
"NIFTY","25-Jan-2018","22-Feb-2018","CE","9000","2085","2088.2","2005","2038.4","2037.9","2038.4","5563","46148.69","8598.44","1917300","397200","11069.65"
"NIFTY","25-Jan-2018","22-Feb-2018","CE","9050","0","0","0","1309.25","0","2063.8","0","0","0","0","0","11069.65"
"NIFTY","25-Jan-2018","22-Feb-2018","CE","9100","1979.1","1985.75","1923","1935.7","1935.65","1935.7","118","978.01","172.66","18075","6975","11069.65"
"NIFTY","25-Jan-2018","22-Feb-2018","CE","9150","0","0","0","1211.4","0","1964.25","0","0","0","0","0","11069.65"
"NIFTY","25-Jan-2018","22-Feb-2018","CE","9200","1881","1882","1817","1838.7","1838.7","1838.7","203","1683.98","283.28","79350","13650","11069.65"
"NIFTY","25-Jan-2018","22-Feb-2018","CE","9250","0","0","0","1114.05","0","1864.75","0","0","0","0","0","11069.65"
"NIFTY","25-Jan-2018","22-Feb-2018","CE","9300","1780.6","1788.05","1714.05","1740","1740","1740","630","5219.03","824.78","84450","42825","11069.65"
"NIFTY","25-Jan-2018","22-Feb-2018","CE","12550","0","0","0","0.05","0","0","0","0","0","0","0","11069.65"
"NIFTY","25-Jan-2018","22-Feb-2018","CE","12600","3.05","4","3.05","3.25","3.45","3.25","1294","12231.71","3.41","57375","57375","11069.65"
