"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","25-May-2017","29-Jun-2017","CE","8400","991","1090.95","983.95","1084.75","1079.3","1084.75","1551","10947.35","1176.05","524625","99975","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","8450","0","0","0","871.15","0","1112.8","0","0","0","0","0","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","8500","899.15","994.5","879.7","986.6","982.5","986.6","2694","19037.25","1863","737850","114675","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","8550","0","0","0","896","896","1013.5","0","0","0","4950","0","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","7100","0","0","0","1380.6","0","2454.3","0","0","0","0","0","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","7200","0","0","0","1601","1601","2354.9","0","0","0","25000","0","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","7300","2120","2120","2120","2120","2120","2120","2","14.13","3.18","200150","150","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","7400","1978.15","2080.05","1968","2068.6","2068.45","2068.6","1671","11789.67","2515.62","310950","124650","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","7500","1871.3","1981.4","1867.05","1971.85","1970","1971.85","2316","16348.87","3321.37","1099650","165750","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","7600","1784","1880.55","1784","1877.2","1866.25","1877.2","245","1729.46","332.96","20400","17775","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","7650","0","0","0","1649.95","0","1907.75","0","0","0","0","0","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","7700","1684.9","1780","1678","1775.35","1775","1775.35","1041","7338.18","1326.41","532075","-13050","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","7750","0","0","0","1551.65","0","1808.35","0","0","0","0","0","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","7800","1580","1678.35","1576.3","1678","1678.35","1678","347","2444.73","414.78","114600","-3150","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","7850","0","0","0","1453.4","0","1709","0","0","0","0","0","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","7900","1485","1581.2","1485","1580.1","1581.2","1580.1","424","2991.77","479.57","71400","31050","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","7950","0","0","0","1355.2","0","1609.6","0","0","0","0","0","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","5800","0","0","0","1712.1","0","3746.15","0","0","0","0","0","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","5900","0","0","0","1665.85","0","3646.75","0","0","0","0","0","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","6000","3384.8","3471.7","3384.8","3467.4","3468","3467.4","102","721.62","262.62","172575","-2925","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","6100","0","0","0","2583","2583","3448","0","0","0","50000","0","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","6200","0","0","0","1641","1641","3348.65","0","0","0","75000","0","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","6300","0","0","0","1488.7","0","3249.3","0","0","0","0","0","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","6400","0","0","0","1446.6","0","3149.9","0","0","0","0","0","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","6500","2903.8","2975","2903.8","2975","2975","2975","21","148.19","45.82","13650","-1575","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","6600","0","0","0","1603","1603","2951.15","0","0","0","100000","0","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","6700","0","0","0","1058.25","1058.25","2851.8","0","0","0","14700","0","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","6800","0","0","0","1883","1883","2752.4","0","0","0","127500","0","9509.75"
"NIFTY","25-May-2017","29-Jun-2017","CE","6900","0","0","0","1249.05","0","2653.05","0","0","0","0","0","9509.75"
