"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","8650","0","0","0","1404.3","0","1746.25","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","8700","1595","1642","1592.25","1634.7","1632","1634.7","148","1145.16","179.46","38175","8625","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","8750","0","0","0","1307.2","0","1646.85","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","8800","1500","1549.45","1492.65","1538.8","1534.25","1538.8","682","5279.59","778.39","127200","43725","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","8850","0","0","0","1210.8","0","1547.45","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","8900","1395","1449","1395","1445.1","1443","1445.1","72","557.76","77.16","48150","4275","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","8950","0","0","0","1115.45","0","1448.05","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","9000","1288.35","1352.8","1288.35","1342.25","1336.55","1342.25","3713","28754.43","3691.68","822375","202275","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","11450","0","0","0","6.05","0","0.5","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","11500","0.65","0.95","0.55","0.85","0.85","0.85","9445","81468.58","5.46","556725","227625","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","11550","0.85","0.85","0.75","0.8","0.8","0.8","4670","40456.65","2.77","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","11600","0.4","0.9","0.4","0.5","0.5","0.5","77","669.93",".03","5100","3975","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","11650","0","0","0","0.75","0.75","0.1","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","11700","0.1","1.95","0.1","0.5","0.5","0.5","130","1140.82",".07","3150","3150","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","11750","0","0","0","0.7","0.7","0.05","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","11800","0.15","0.25","0.15","0.25","0.25","0.25","2","17.7","0","75","75","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","10650","20.05","29","19.7","26.85","27","26.85","621","4972.59","12.36","29475","29025","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","10700","17.05","20.3","13.8","18.5","18.8","18.5","43882","352732.06","579.01","1929600","888675","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","10750","11","30","9.55","16.85","14.05","16.85","83","670.16",".97","3900","3375","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","10800","10.1","14.95","6.8","8.75","8.95","8.75","13408","108688.95","84.15","638250","295575","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","10850","0","0","0","4","4","23","0","0","0","600","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","10900","5.6","5.6","3.8","4.35","4.3","4.35","4675","38233.06","14.93","217425","115425","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","10950","15","20","2","3.4","2.05","3.4","162","1331.14",".72","7425","6600","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","11000","2.85","3.2","2","2.5","2.45","2.5","16425","135535.37","29.12","1021875","277050","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","11050","0","0","0","24.15","0","7.5","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","11100","1.6","2.45","1.35","1.85","2.35","1.85","545","4537.86",".74","29025","21000","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","11150","0","0","0","17.75","0","4.05","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","11200","1.5","1.55","0.9","1.5","1.2","1.5","327","2747.15",".35","29850","10950","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","11250","0","0","0","14.5","14.5","2.05","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","11300","0.65","1.2","0.65","0.95","0.9","0.95","761","6450",".52","24900","24225","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","11350","3.5","3.5","1.25","1.65","1.25","1.65","30","255.43",".05","1800","1800","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","11400","0.9","1.05","0.4","0.9","0.85","0.9","862","7370.66",".56","27750","18075","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","9850","508","508","505","505","505","505","2","15.53",".76","300","150","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","9900","436.85","492","436.85","481.8","483","481.8","3900","30293.39","1335.89","783450","137025","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","9950","418","435","418","426.7","430","426.7","18","140.15","5.83","3750","1200","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","10000","355.7","408.85","352.85","396.35","395","396.35","8647","67299.02","2446.52","1099200","205425","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","10050","332.75","358.05","322.1","353.8","348","353.8","249","1942.7","65.86","4350","3975","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","10100","269.25","322.1","268.5","313.15","314.9","313.15","9196","71723.3","2063.6","1318275","202500","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","10150","250","280.6","237.4","271.7","280.6","271.7","260","2029.61","50.36","22050","3900","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","10200","202.2","247","198.25","238.6","237","238.6","18366","143597.4","3097.5","1418325","103350","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","10250","180","211.25","172","201.75","200.05","201.75","1367","10703.74","194.93","51675","25875","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","10300","143.75","178","134.95","170.85","171.35","170.85","57815","453572.27","6951.4","2291775","583725","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","10350","135","170","114.05","141.05","142.7","141.05","5370","42226.88","542.25","211350","174150","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","10400","91.2","119.95","89.55","113.6","114.25","113.6","62175","489872.48","4907.48","2481975","870075","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","10450","65.9","96.15","65.9","90.7","89","90.7","2229","17614.9","145.11","94425","76350","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","10500","58.55","73.95","51.2","69.35","69.9","69.35","76408","605392.11","3679.11","2718525","928950","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","10550","42","55.6","39.95","51.95","52.3","51.95","524","4165.47","19.32","22875","13650","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","10600","31.15","40.9","27.35","38","38","38","53191","424260.96","1392.51","1979625","819150","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","9050","0","0","0","1021.5","0","1348.7","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","9100","1207.8","1254.3","1197.65","1248.1","1240.4","1248.1","387","2995.06","353.79","78750","22875","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","9150","0","0","0","929.35","0","1249.3","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","9200","1096.3","1154.35","1096.3","1145.45","1140","1145.45","943","7298.1","791.4","176475","62625","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","9250","0","0","0","839.55","0","1149.95","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","9300","1000.5","1055.35","1000.5","1044.85","1044","1044.85","474","3669.87","363.72","98925","32025","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","9350","0","0","0","752.65","0","1050.65","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","9400","915","960.55","904.65","952.4","951.9","952.4","738","5713.47","510.57","150675","41325","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","9450","0","0","0","669.2","0","951.5","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","9500","795.2","863.05","795.2","852.35","857.3","852.35","4959","38426.7","3093.82","711975","295050","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","9550","0","0","0","589.8","0","852.7","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","9600","720.35","767.05","712","756","756.8","756","1798","13938.97","993.37","363975","77550","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","9650","0","0","0","515.3","0","754.6","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","9700","631","672.35","618","663.75","662","663.75","1376","10670.85","660.45","305175","78750","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","9750","0","0","0","523","523","657.85","0","0","0","225","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","9800","535","580.85","527.75","571.95","573.8","571.95","1828","14193.64","757.84","501000","72075","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","8250","2040","2083","2031.2","2079.05","2074.95","2079.05","541","4183.29","835.85","50850","40500","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","8300","1995","2039.45","1986","2030.55","2039.45","2030.55","5003","38677.95","7534.28","1585500","360900","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","8350","0","0","0","1617.1","0","2044.45","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","8400","1896.05","1939.9","1887","1936.5","1929.65","1936.5","1499","11579.7","2136","205125","106725","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","8450","0","0","0","1599.85","0","1945.05","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","8500","1793","1842.5","1785","1835.7","1832.65","1835.7","8331","64414","11303.88","837075","567000","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","8550","0","0","0","1501.9","0","1845.65","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","CE","8600","1696","1742","1693.65","1730.75","1732.6","1730.75","614","4748.96","788.66","57375","43125","10343.8"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","8600","1751.8","1751.8","1751","1751","1751","1751","2","15.53","2.63","57300","-75","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","8650","0","0","0","1404.3","0","1724.1","0","0","0","0","0","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","8700","1649.5","1649.55","1644.9","1644.9","1644.9","1644.9","3","23.28","3.71","38025","-150","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","8750","0","0","0","1307.2","0","1624.65","0","0","0","0","0","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","8800","1548.7","1561","1530.9","1530.9","1530.9","1530.9","13","100.82","15.02","127275","75","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","8850","0","0","0","1210.8","0","1525.25","0","0","0","0","0","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","8900","0","0","0","1445.1","1443","1475.55","0","0","0","48150","0","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","8950","0","0","0","1115.45","0","1425.85","0","0","0","0","0","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","9000","1356.95","1370.5","1333","1342.1","1345.4","1342.1","753","5843.15","760.4","861600","39225","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","11450","2","2","1.25","1.25","1.25","1.25","2","17.18","0","75","75","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","11500","0.6","0.85","0.6","0.75","0.65","0.75","7635","65856.06","4.19","688875","132150","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","11550","0","0","0","0.8","0.8","0.1","0","0","0","0","0","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","11600","0.7","0.85","0.7","0.8","0.8","0.8","122","1061.47",".07","6225","1125","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","11650","0","0","0","0.75","0.75","0.05","0","0","0","0","0","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","11700","0.85","0.85","0.6","0.8","0.8","0.8","9","78.98",".01","3450","300","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","11750","0.7","1.5","0.2","1.35","1.5","1.35","84","740.29",".04","825","825","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","11800","1","1","0.5","0.75","0.75","0.75","310","2743.68",".18","18000","17925","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","11850","0.95","0.95","0.85","0.9","0.9","0.9","56","497.74",".04","3900","3900","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","10650","29.5","29.75","22.05","25.05","23.75","25.05","2507","20073.03","48.36","74775","45300","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","10700","20.3","21.95","14.9","17.2","17.1","17.2","69012","554730.66","909.36","2505450","575850","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","10750","16","16","10.05","11.95","11.55","11.95","719","5803.57","6.64","29550","25650","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","10800","9.35","10.3","6.6","7.7","8.05","7.7","26218","212523.1","157.3","953925","315675","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","10850","7.75","7.75","4.3","6.35","6.4","6.35","38","309.4",".17","2250","1650","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","10900","4.75","5.15","3.45","3.95","4","3.95","10546","86245.32","31.77","318600","101175","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","10950","6.95","7","3.25","3.45","3.6","3.45","309","2538.59",".92","23475","16050","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","11000","3.2","10","2.15","2.6","2.65","2.6","28022","231233.64","52.14","1539375","517500","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","11050","0","0","0","24.15","0","5.2","0","0","0","0","0","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","11100","1.75","2.05","1.5","1.75","1.9","1.75","4455","37093.75","5.88","35475","6450","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","11150","0","0","0","17.75","0","2.6","0","0","0","0","0","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","11200","1.9","1.9","1.1","1.5","1.6","1.5","914","7678.59",".99","54375","24525","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","11250","0","0","0","14.5","14.5","1.25","0","0","0","0","0","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","11300","0.9","1.1","0.75","1.05","1","1.05","1019","8636.74",".71","29850","4950","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","11350","1","1.3","1","1.3","1.3","1.3","10","85.13",".01","1800","0","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","11400","0.95","1","0.65","0.95","0.95","0.95","1614","13800.71","1.01","29100","1350","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","9850","0","0","0","505","505","540.55","0","0","0","300","0","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","9900","490.45","505","470.55","479","480","479","547","4261.4","199.92","784425","975","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","9950","445.2","445.2","431","431","431","431","8","62.34","2.64","3750","0","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","10000","407.3","419.8","383.85","390.45","391.4","390.45","5385","42002.08","1614.58","1093650","-5550","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","10050","357.8","373.2","346","347","349.35","347","12","93.65","3.2","4200","-150","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","10100","325.1","335","301.6","310.55","311.15","310.55","5832","45575.58","1398.18","1206300","-111975","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","10150","281.4","293","266.5","271.4","271.3","271.4","99","774.6","20.96","21450","-600","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","10200","248.85","257.65","228","236.3","235.1","236.3","13193","103336.9","2410.45","1363500","-54825","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","10250","221.9","221.95","194","199.3","199.5","199.3","806","6320.7","124.57","54900","3225","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","10300","183.9","185.95","161.05","166.75","165.95","166.75","41386","325111.47","5404.62","2364900","73125","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","10350","143.15","156.3","133.25","138.4","139","138.4","7809","61459.01","841.65","244050","32700","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","10400","122.85","125","105.2","111.1","110.5","111.1","96603","761864.03","8360.63","2978025","496050","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","10450","108.65","108.7","82.5","87.25","88.65","87.25","8826","69775.41","601.63","209775","115350","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","10500","75.3","77.7","62.3","66.4","65.85","66.4","101293","802953.18","5270.81","3167850","449325","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","10550","56.85","58.8","46.05","49.65","49.75","49.65","3465","27551.78","134.96","60375","37500","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","10600","42.4","43.05","32.85","36.25","36.4","36.25","72818","580936.91","2033.81","2238150","258525","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","9050","0","0","0","1021.5","0","1326.45","0","0","0","0","0","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","9100","1244","1267","1241.2","1246","1246.3","1246","12","93.13","11.23","78375","-375","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","9150","0","0","0","929.35","0","1227.05","0","0","0","0","0","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","9200","1160.95","1172.35","1135.15","1139.45","1141.35","1139.45","46","357.18","39.78","176700","225","10323.05"
