"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","27-Apr-2017","25-May-2017","CE","10600","0","0","0","0.95","0","0","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","CE","10650","0","0","0","0.8","0","0","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","CE","10700","0","0","0","0.05","0","0","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","CE","10750","0","0","0","0.05","0","0","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","CE","10800","0","0","0","0.05","0","0","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","CE","10850","0","0","0","0.05","0","0","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","CE","9000","387.5","390.2","361.75","371.95","362.25","371.95","5651","39736.54","1592.29","1007625","163200","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","CE","9050","298","340","297.95","320","320","320","16","112.37","3.77","2025","1050","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","CE","9100","305.7","315.8","274.9","285.95","278.95","285.95","5611","39509.38","1214.31","857625","190425","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","CE","9150","246.9","260","234.95","244.6","240","244.6","119","838.69","22.05","49875","5625","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","CE","9200","222.9","222.95","196.1","204.5","197","204.5","9359","66037.58","1460.48","1285275","166050","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","CE","9250","171.65","182.95","162","169.7","162","169.7","331","2338.87","42.55","58275","6900","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","CE","9300","149.3","151.45","128.85","135.45","131","135.45","40020","283333.67","4194.17","1928025","506850","9342.15"
