"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","8700","1392.15","1432.8","1346.7","1347.4","1347","1347.4","243","1841.34","255.76","459750","14175","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","8750","1330","1330","1330","1330","1330","1330","12","90.72","11.97","900","900","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","8800","1299.6","1334","1234.4","1246.6","1250","1246.6","455","3446.21","443.21","249450","28650","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","8850","0","0","0","833.6","0","1224.8","0","0","0","0","0","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","8900","1198.45","1235.45","1152.1","1152.75","1152.95","1152.75","201","1522.86","181.19","124125","11775","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","8950","0","0","0","744.7","0","1125.4","0","0","0","0","0","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","9000","1079.6","1137","1037","1049.1","1055","1049.1","3129","23696.27","2575.52","929400","175350","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","11200","0.9","1","0.65","0.85","0.7","0.85","238","1999.34",".14","8850","-1275","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","11250","0","0","0","0.05","0","0","0","0","0","0","0","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","11300","1.5","1.5","0.25","1.15","1.15","1.15","127","1076.43",".11","9225","9225","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","11350","0","0","0","0.05","0","0","0","0","0","0","0","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","11400","0.9","1.2","0.4","1.1","1","1.1","1568","13407.34",".94","49875","40350","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","11450","0","0","0","0.05","0","0","0","0","0","0","0","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","11500","0.9","1","0.9","1","1","1","482","4157.61",".36","33225","33225","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","10100","129.75","150","97.55","104.95","106.5","104.95","72222","553969.98","6888.33","2648625","634425","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","10150","100","121.5","75.95","82.2","85.35","82.2","2707","20809.61","202.57","85125","72600","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","10200","75","96","57.85","63.1","64.05","63.1","78145","602526.76","4717.51","2531550","1040175","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","10250","59","75","42.35","46.6","48","46.6","2136","16512.82","92.32","67275","49500","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","10300","37.75","56.85","31.5","34.55","35.75","34.55","82420","639565.3","2870.8","2306550","1234275","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","10350","35.6","44.95","22","24.8","25.6","24.8","332","2585.07","7.92","11100","10725","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","10400","19.1","32","15.8","17.7","18","17.7","67640","528841.37","1249.37","1538775","845925","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","10450","26","27.3","12","15.8","15.1","15.8","100","785.21","1.46","4575","4350","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","10500","10.6","17.1","6.8","8.65","8.65","8.65","65815","518886.25","593.12","1855275","772875","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","10550","6.05","6.05","6.05","6.05","6.05","6.05","1","7.92","0","75","75","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","10600","4.6","9.35","3.6","4.7","4.85","4.7","17456","138856.82","81.62","503025","171675","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","10650","0","0","0","17","0","3.2","0","0","0","0","0","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","10700","3.5","5.95","2.15","2.7","2.6","2.7","6117","49105.36","16.44","171450","147450","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","10750","0","0","0","12","0","1.35","0","0","0","0","0","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","10800","2.75","3.5","1.25","1.65","1.65","1.65","774","6270.6","1.2","12600","11850","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","10850","0","0","0","8.35","0","0.5","0","0","0","0","0","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","10900","2.2","2.3","1.5","1.9","1.8","1.9","448","3663.03",".63","27675","26700","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","10950","0","0","0","5.7","0","0.2","0","0","0","0","0","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","11000","0.75","1.75","0.75","1.35","1.15","1.35","25153","207531.68","19.43","1211400","722250","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","11050","1.5","1.5","1.5","1.5","1.5","1.5","26","215.5",".03","1950","1950","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","11100","0.55","2","0.55","1.35","1.35","1.35","322","2680.94",".29","7950","7950","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","11150","0","0","0","1.45","0","0.05","0","0","0","0","0","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","9050","0","0","0","750","750","1026.05","0","0","0","600","0","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","9100","998","1040.8","939.9","954.8","954.65","954.8","554","4201.21","420.16","145650","20475","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","9150","0","0","0","850","850","926.65","0","0","0","225","0","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","9200","901.95","941.6","850","862.05","860","862.05","491","3720.97","333.07","153075","12375","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","9250","0","0","0","500.6","0","827.35","0","0","0","0","0","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","9300","790","843","745.75","755.6","759.9","755.6","1261","9564.93","769.45","169050","38475","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","9350","700","777","699.95","777","777","777","4","30.21","2.16","225","225","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","9400","696","748.4","652","665.4","667.7","665.4","2057","15596.58","1094.73","253650","-12375","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","9450","505.9","613","505.2","541.4","613","541.4","3","22.48","1.22","150","150","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","9500","598","652","556","569.85","574.25","569.85","9229","70046.94","4290.31","899325","342450","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","9550","603.8","603.8","513.9","513.9","513.9","513.9","2","15.16",".84","150","150","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","9600","509.7","558","466.05","480.15","484.85","480.15","3867","29364.81","1522.41","495600","63825","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","9650","491.85","500","430.1","430.55","431","430.55","60","455.64","21.39","3975","1800","10020.55"
"NIFTY","27-Jul-2017","31-Aug-2017","CE","9700","416.25","468.5","379.35","389.95","395.7","389.95","8540","64947.62","2819.12","1001100","214350","10020.55"
