"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","9500","292.15","350","288","333.35","325.05","333.35","6438","47419.55","1548.8","658875","213375","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","9550","298","298","298","298","298","298","2","14.77",".45","150","150","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","9600","231.65","271","212.45","250.15","247","250.15","11223","82802.43","1996.83","468300","247425","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","9650","188","188","188","188","188","188","2","14.76",".28","150","150","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","9700","165.6","198.45","148.65","183.9","176.4","183.9","43654","323221.63","5638.78","1286475","778725","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","9750","141.95","166","120.3","150.8","151.9","150.8","2478","18388.84","268.46","68250","30300","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","11400","0.55","0.75","0.55","0.75","0.75","0.75","43","367.67",".02","2175","-1050","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","11450","0","0","0","0.95","0.95","0","0","0","0","7425","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","11500","0.5","0.8","0.5","0.6","0.55","0.6","2993","25815.99","1.36","244650","75150","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","11550","0","0","0","0.55","0","0","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","11600","0.35","0.7","0.35","0.6","0.55","0.6","842","7325.73",".33","37650","24000","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","11650","0","0","0","0.05","0","0","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","9800","123.9","135.95","98.5","123.5","121","123.5","86899","646275.49","7567.84","2308050","1182600","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","9850","75","109","75","98.05","96.8","98.05","5131","38260.86","355.6","143550","52050","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","9900","70.6","85.5","59.5","76.6","73.1","76.6","83092","621402.77","4444.67","2506575","829350","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","9950","59","65.35","45.05","58.8","56","58.8","2626","19703.78","107.25","168675","17100","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","10000","45.35","49.5","34.2","44.25","42.05","44.25","82365","620287.97","2550.47","4065900","851025","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","10050","34.7","36.5","25.6","32.75","31.5","32.75","1337","10108.3","30.67","98400","16950","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","10100","24.55","26.95","18.35","24.5","23.2","24.5","49765","377809.53","839.66","2014800","249600","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","10150","12","25","12","18.55","18.75","18.55","727","5543.78","9.49","113775","13350","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","10200","14.2","15.1","11","13.75","12.65","13.75","43208","330958.37","417.17","2292525","202350","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","10250","11","12.35","7.85","10.9","10.3","10.9","977","7518.13","7.44","112500","12825","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","10300","7.85","8.95","6.55","7.75","7.1","7.75","28322","218948.09","160.64","1715025","114675","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","10350","6.05","7.95","5.5","6.6","6.25","6.6","76","590.32",".37","7575","3450","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","10400","24","24","4","4.65","4.5","4.65","21027","164086.63","76.03","1264800","321225","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","10450","6.5","6.5","3.05","3.5","3.5","3.5","162","1270.2",".53","15075","9150","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","10500","4.55","4.55","2.45","3.2","3.25","3.2","24295","191381.65","58.53","1738650","262125","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","10550","0","0","0","7","7","3.4","0","0","0","375","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","10600","2.85","2.9","1.65","2.35","2.2","2.35","3533","28093.29","5.94","573825","8625","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","10650","0","0","0","41.75","0","1.7","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","10700","1.85","2.2","1.15","1.4","1.4","1.4","1711","13732.62","1.85","327000","62625","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","10750","0","0","0","19","19","0.8","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","10800","1.65","1.65","0.85","0.9","0.85","0.9","3634","29438.17","2.77","248325","124650","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","10850","0","0","0","18.5","18.5","0.35","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","10900","0.9","1.05","0.75","0.75","0.75","0.75","75","613.17",".05","28425","2400","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","10950","0","0","0","13","13","0.15","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","11000","0.55","1","0.55","0.8","0.75","0.8","12119","99988.11","6.36","1105350","226725","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","11050","0","0","0","7.5","0","0.1","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","11100","0.6","1","0.4","0.5","0.55","0.5","45","374.64",".02","1875","975","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","11150","0","0","0","4.55","0","0.05","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","11200","0.65","1","0.65","1","1","1","13","109.21",".01","11475","525","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","11250","0","0","0","2.7","0","0.05","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","11300","0.55","0.9","0.25","0.55","0.55","0.55","94","796.69",".04","1350","450","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","11350","0","0","0","1.6","0","0","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","8200","1530","1592","1510","1568.65","1570","1568.65","7307","53484.69","8546.64","2706975","476550","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","8250","0","0","0","1565.4","0","1558.35","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","8300","1430","1480","1416","1472.45","1465","1472.45","84","614.99","92.09","311850","5475","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","8350","0","0","0","1580.5","0","1458.85","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","8400","1319.9","1385.7","1319.9","1385.7","1385.7","1385.7","157","1149.63","160.53","660525","10350","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","8450","0","0","0","1571.1","0","1359.3","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","8500","1230","1293.05","1220.25","1271.75","1260","1271.75","6569","48081.17","6203.79","1391625","392625","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","8550","0","0","0","1606.15","0","1259.8","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","8600","1150","1189.9","1125.4","1183.25","1163.15","1183.25","347","2540.53","302.38","448800","15000","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","8650","0","0","0","1507.75","0","1160.3","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","8700","1055","1090.75","1033","1067.85","1060","1067.85","635","4651.73","508.35","258300","39675","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","8750","0","0","0","1409.35","0","1060.85","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","8800","929.3","979.5","923.95","975.05","975.2","975.05","275","2013.35","198.35","188250","15825","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","8850","0","0","0","1311.05","0","961.45","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","8900","831","902.15","830","891.1","872.25","891.1","442","3235.23","284.88","54375","23400","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","8950","0","0","0","1212.8","0","862.35","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","9000","746.55","806","728.85","780.7","780.4","780.7","3740","27406.27","2161.27","923550","183975","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","9050","0","0","0","1114.8","0","763.75","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","9100","670","710","637.7","685.35","673.1","685.35","383","2807.46","193.49","107550","19125","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","9150","0","0","0","1017.2","0","666.3","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","9200","557.5","614","544.8","593.2","593","593.2","1038","7611.51","449.31","297075","32550","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","9250","0","0","0","920.3","0","570.8","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","9300","472.6","520.25","453.65","498.6","498.25","498.6","880","6462.6","324.6","153900","44175","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","9350","0","0","0","824.5","0","478.6","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","9400","382.05","434.95","368.8","407.1","408.6","407.1","1539","11314.42","464.47","191925","22725","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","CE","9450","0","0","0","730.5","0","391.3","0","0","0","0","0","9768.95"
