"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","11700","0.85","0.9","0.55","0.9","0.9","0.9","10","87.76",".01","7650","0","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","11750","0","0","0","66.75","0","0.1","0","0","0","0","0","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","11800","0.85","0.9","0.8","0.9","0.9","0.9","16","141.61",".01","5625","750","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","11850","0","0","0","49.55","0","0.05","0","0","0","0","0","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","11900","0.7","0.7","0.7","0.7","0.7","0.7","1","8.93","0","1575","0","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","11950","0","0","0","36.15","0","0.05","0","0","0","0","0","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","12000","0.75","0.8","0.6","0.75","0.75","0.75","6685","60168.52","3.52","1559025","-148050","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","12050","0","0","0","25.95","0","0.05","0","0","0","0","0","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","12100","1.45","1.45","0.05","0.65","0.8","0.65","293","2659.14",".17","7800","5475","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","12150","0","0","0","18.35","0","0","0","0","0","0","0","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","12200","0","0","0","1","1","0","0","0","0","2700","0","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","12250","0","0","0","12.7","0","0","0","0","0","0","0","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","12300","0","0","0","10.55","0","0","0","0","0","0","0","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","12350","0","0","0","8.7","0","0","0","0","0","0","0","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","12400","0","0","0","7.15","0","0","0","0","0","0","0","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","12450","0","0","0","5.85","0","0","0","0","0","0","0","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","12500","0.7","0.85","0.65","0.7","0.75","0.7","865","8109.85",".47","102000","-5325","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","12550","0","0","0","3.85","0","0","0","0","0","0","0","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","12600","0","0","0","0.3","0.3","0","0","0","0","3825","0","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","12650","0","0","0","3.25","0","0","0","0","0","0","0","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","8500","1680","1756.35","1650","1747","1754.15","1747","692","5291.16","879.66","378300","-8775","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","8550","1619.25","1619.25","1619.25","1619.25","1619.25","1619.25","1","7.63","1.21","75","75","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","8600","1575","1658.75","1559","1650.65","1654","1650.65","1344","10310.2","1641.4","1490025","2775","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","8650","1582","1582","1581","1581","1581","1581","3","23.02","3.56","300","-225","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","8700","1498.1","1555","1498.1","1543.75","1555","1543.75","8","61.35","9.15","47175","225","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","8750","0","0","0","1587.5","0","1505.25","0","0","0","0","0","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","8800","1401.65","1456","1378.25","1456","1456","1456","3","22.98","3.18","49950","0","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","8850","0","0","0","1624.15","0","1405.8","0","0","0","0","0","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","8900","1300","1355","1264.65","1347.15","1355","1347.15","11","84.3","10.87","43050","75","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","8950","0","0","0","1637.2","0","1306.3","0","0","0","0","0","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","9000","1187.75","1260","1155","1249.95","1257","1249.95","9808","74973.33","8769.33","2462025","-345900","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","9050","0","0","0","1591.7","0","1206.9","0","0","0","0","0","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","9100","1158","1158","1158","1158","1158","1158","1","7.69",".87","4275","75","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","9150","0","0","0","1661.15","0","1107.65","0","0","0","0","0","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","9200","1011","1051.1","967.85","1051.1","1051.1","1051.1","33","252.65","24.95","69825","-75","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","9250","0","0","0","1658.5","0","1008.6","0","0","0","0","0","-"
"NIFTY","02-Apr-2018","26-Apr-2018","CE","9300","884.45","964.25","872.3","956.05","964.25","956.05","184","1408.2","124.8","102000","2025","-"
