"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","31-Aug-2017","28-Sep-2017","CE","9950","96.3","110.45","86.4","107.45","109.4","107.45","4693","35370.35","348.83","134700","58650","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","CE","10000","74.15","86","65","83.4","84","83.4","79829","603209.15","4491.65","2860275","853125","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","CE","10050","54.9","64.75","47.95","62.15","62.6","62.15","1937","14682.81","82.67","62700","32775","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","CE","10100","41.8","47.45","34.1","46.05","45.75","46.05","52667","400576.41","1623.89","2016150","532350","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","CE","10150","28.55","33.65","24.5","32.25","33.3","32.25","573","4374.66","12.7","35250","14025","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","CE","10200","21","23.9","17.1","22.8","23.3","22.8","43035","329880.2","662.45","2000625","567675","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","CE","10250","15.95","19.8","12.3","16.15","19.8","16.15","286","2201.81","3.19","24375","3900","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","CE","10300","12","12.1","8.75","11.3","11.45","11.3","26570","205458.94","205.69","1378950","394425","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","CE","10350","9","11","9","9.7","11","9.7","4","31.08",".03","1350","150","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","CE","10400","7","7.15","4.7","5.3","5.3","5.3","14383","112244.48","57.08","1085925","370050","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","CE","10450","0","0","0","13","13","15.05","0","0","0","600","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","CE","10500","4.9","4.9","2.25","2.8","3.05","2.8","23243","183090.66","52.04","2035200","621300","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","CE","10550","0","0","0","35","35","8.25","0","0","0","75","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","CE","10600","3.1","3.1","1.9","2","1.95","2","3518","27973.74","5.64","476700","12675","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","CE","10650","0","0","0","1.5","0","4.3","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","CE","10700","2","2.05","1","1.35","1.2","1.35","3786","30386.85","4.2","321075","106050","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","CE","10750","0","0","0","6.1","6.1","2.15","0","0","0","300","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","CE","10800","2","2","1.25","1.45","1.3","1.45","1908","15457.05","2.25","158625","43575","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","CE","10850","0","0","0","0.4","0","1","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","CE","10900","0.9","1.2","0.85","1.15","1.1","1.15","456","3728.15",".35","14625","-7575","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","CE","10950","0","0","0","0.2","0","0.45","0","0","0","0","0","9917.9"
