"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","8650","0","0","0","2","0","0","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","8700","1.25","1.8","1.25","1.6","1.75","1.6","869","5671.22",".99","47175","13800","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","8750","0","0","0","3.35","0","0","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","8800","1.9","2.25","1.7","1.9","1.9","1.9","2597","17144.01","3.81","139200","46800","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","8850","0","0","0","5.45","0","0","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","8900","3","3.3","2.5","2.8","2.6","2.8","3311","22108.2","7.27","148800","86550","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","8950","0","0","0","8.5","0","0","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","9000","4","5.8","2.75","2.95","2.8","2.95","6635","44801.6","15.35","888750","129300","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","11450","0","0","0","1309.85","0","1037.3","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","11500","1149.05","1175","1114.9","1124.55","1128","1124.55","7180","68131.2","6203.7","1046100","372750","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","11550","0","0","0","1304.05","0","1136.4","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","11600","1271","1271","1220.6","1240","1240","1240","106","1021.22","99.02","11625","7950","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","11650","0","0","0","1352","0","1235.7","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","11700","1368","1368","1316","1320.5","1316","1320.5","123","1203.28","123.95","17775","8325","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","11750","1402.1","1402.1","1364.55","1369.8","1366.75","1369.8","356","3507.07","369.82","42900","25800","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","11800","1431.8","1439.5","1416.3","1439.5","1439.5","1439.5","7","69.46","7.51","525","525","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","10650","0","0","0","639.95","0","300.5","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","10700","390.75","394.1","345.65","355.3","357.8","355.3","1397","11595.62","384.69","104550","23775","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","10750","0","0","0","721.65","0","378.65","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","10800","518.25","518.3","436.9","442.45","448.55","442.45","222","1874.19","75.99","16125","11925","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","10850","0","0","0","806.65","0","463.45","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","10900","548.95","565","530.35","530.8","530.35","530.8","56","480.89","23.09","4200","4125","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","10950","0","0","0","894.45","0","553.3","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","11000","678.75","680.8","619.9","627.5","633","627.5","6782","59245.66","3294.16","945300","362850","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","11050","0","0","0","900","900","646.75","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","11100","740","760","713.45","724.55","733.95","724.55","120","1064.54","65.54","6225","6075","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","11150","0","0","0","1076.65","0","742.65","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","11200","847","847","847","847","847","847","4","36.14","2.54","2775","300","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","11250","0","0","0","1170.25","0","840.1","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","11300","954.8","954.8","930.1","930.1","930.1","930.1","4","36.75","2.85","450","300","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","11350","0","0","0","1265.05","0","938.4","0","0","0","0","0","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","11400","1062.7","1066.4","1026.45","1027.25","1027.25","1027.25","39","364.04","30.59","14400","2175","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","9850","37.2","37.25","23.35","28.4","29","28.4","172","1274.43","3.78","9225","2025","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","9900","39.65","49.2","31.35","32.8","32.05","32.8","39681","295662.41","1030.99","2126475","725475","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","9950","48","48.95","36.8","37.9","40.85","37.9","380","2847.39","11.64","23550","11100","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","10000","55.05","58.45","44","45.7","46","45.7","64593","486778.52","2331.02","4404300","1159650","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","10050","67.9","67.9","50.7","52.8","53.65","52.8","589","4464.4","24.81","58125","5025","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","10100","73.8","76.85","59.2","61.55","62.5","61.55","48269","367996.87","2359.19","2382675","653475","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","10150","86.1","87.55","69.1","70.7","77.65","70.7","1305","10007.34","73.03","98325","35625","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","10200","97.35","103","81.7","85.55","86","85.55","71053","548376.77","4821.32","3056400","891750","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","10250","119.9","124.95","95.4","100.15","100.05","100.15","4957","38507.19","400.25","307725","165525","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","10300","143.85","143.85","111.35","116.05","118","116.05","58007","453429.69","5325.62","2229975","1081275","10343.8"
"NIFTY","26-Oct-2017","30-Nov-2017","PE","10350","160","160","130.05","134.65","138.4","134.65","1748","13754.78","185.93","69600","48825","10343.8"
