"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","27-Apr-2017","25-May-2017","PE","10600","1228.35","1235.7","1214.3","1227.9","1230","1227.9","470","4168.99","432.49","88425","34350","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","10650","0","0","0","1365","0","1255.55","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","10700","1326.1","1326.1","1308","1325","1325","1325","144","1297.33","141.73","10725","10575","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","10750","0","0","0","1414.1","0","1355.05","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","10800","1418","1419.55","1418","1418.95","1419.55","1418.95","5","45.82","5.32","375","375","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","10850","0","0","0","1442.95","0","1454.55","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","9000","26.4","26.4","20","21.35","21","21.35","65737","444830.17","1105.42","4298100","1148850","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","9050","28.35","31.4","25.3","26.95","27","26.95","363","2471.4","7.53","45375","12450","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","9100","38.2","38.75","32.85","34.1","33.1","34.1","42614","291957.08","1116.53","3241800","712800","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","9150","44.9","47","41","42.25","41.5","42.25","1047","7219.09","34.05","150225","21375","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","9200","58.05","58.15","50.65","53.15","52.85","53.15","51382","356603","2067.2","2935650","688125","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","9250","68.35","72.15","63.95","66.85","66.25","66.85","1944","13584.25","97.75","192900","59325","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","9300","86.5","89","78","82.45","83.4","82.45","71728","504744.81","4442.01","2831400","1073100","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","9350","119.8","119.8","96","102.05","102.35","102.05","5809","41176.33","440.72","334725","224175","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","9400","123.3","132.55","116.75","123.15","125","123.15","28828","205900.62","2663.22","1333650","434175","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","9450","160.7","160.7","141.1","149.5","152","149.5","123","885.54","13.78","7875","5850","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","9500","179.2","191.6","170","179.95","184.75","179.95","12094","87801.09","1631.34","1025475","274200","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","9550","0","0","0","514.65","0","208.15","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","9600","253.6","269.3","241.8","255.3","263.6","255.3","4944","36537.97","941.17","402000","174075","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","9650","0","0","0","597.55","0","285.95","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","9700","340.7","355.35","329.95","342.9","349.4","342.9","940","7077.69","239.19","109350","50475","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","9750","0","0","0","684.35","0","372.6","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","9800","434.7","447.65","421.15","436.75","441","436.75","342","2623.92","110.22","24750","21300","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","9850","0","0","0","774.25","0","465.25","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","9900","528.1","546.25","518.45","534.45","538.1","534.45","180","1408.18","71.68","35175","8175","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","9950","0","0","0","866.65","0","561.4","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","10000","631","647","616.4","635.45","640","635.45","5850","46648.36","2773.36","703800","363975","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","10050","0","0","0","960.85","0","659.4","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","10100","0","0","0","1008.5","0","708.8","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","10150","0","0","0","1056.4","0","758.3","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","10200","0","0","0","1104.55","0","807.95","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","10250","0","0","0","1152.95","0","857.6","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","10300","0","0","0","1201.45","0","907.3","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","10350","0","0","0","1250.1","0","957.05","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","10400","1030","1030","1030","1030","1030","1030","2","17.15","1.55","150","150","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","10450","0","0","0","1347.75","0","1056.55","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","10500","1115.65","1144","1110","1132.55","1134","1132.55","2136","18628.35","1807.35","653775","150450","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","10550","0","0","0","1329.85","0","1156.05","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","7400","2","2","0.5","0.6","0.6","0.6","1655","9186.03",".78","28425","23850","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","7450","0","0","0","0.05","0","0","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","7500","0.3","0.85","0.3","0.7","0.65","0.7","1502","8449.53",".78","96750","20775","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","7550","0","0","0","0.1","0","0","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","7600","2","2","0.6","0.7","0.75","0.7","209","1191.41",".11","13350","10650","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","7650","0","0","0","0.2","0","0","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","7700","1.3","1.35","0.7","0.75","0.7","0.75","121","698.85",".07","8100","4725","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","7750","0","0","0","0.4","0","0","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","7800","0.1","1.35","0.1","0.8","0.8","0.8","145","848.36",".11","10800","450","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","7850","0","0","0","0.8","0","0","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","7900","1.65","1.65","1","1.05","1","1.05","294","1742.2",".25","27900","11400","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","7950","0","0","0","1.55","0","0","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","8000","1.95","2","1.1","1.2","1.1","1.2","7749","46501.79","7.79","397425","144525","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","8050","0","0","0","2.95","0","0","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","8100","2.5","2.5","1.05","1.25","1.05","1.25","587","3566.68",".66","37875","5100","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","8150","0","0","0","5.3","0","0","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","8200","1","3","1","1.65","1.45","1.65","1838","11306.45","2.75","133275","1125","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","8250","0","0","0","9.15","0","0","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","8300","3.2","3.45","1.75","1.95","1.9","1.95","2267","14116.24","4.16","182100","22875","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","8350","0","0","0","13.1","13.1","0","0","0","0","75","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","8400","6","6","2.1","2.3","2.25","2.3","2527","15925.31","5.21","517200","27525","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","8450","0","0","0","21.5","21.5","0.05","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","8500","5.55","5.55","2.5","2.7","2.8","2.7","8897","56738.99","20.61","1311375","291825","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","8550","0","0","0","36.6","0","0.05","0","0","0","0","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","8600","5.25","5.7","3.25","3.8","3.8","3.8","4929","31807.46","15.41","936750","90675","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","8650","0","0","0","30","30","0.2","0","0","0","150","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","8700","10.9","11","5.05","5.8","5.4","5.8","8403","54868.58","39","1528125","209850","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","8750","0","0","0","27.5","27.5","0.7","0","0","0","75","0","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","8800","10","14","7.7","8.55","8.55","8.55","21993","145305.35","151.55","2491800","532050","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","8850","12.1","12.1","12","12","12","12","14","93.05",".13","2400","1050","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","8900","17.85","17.85","12.7","14.1","12.75","14.1","16484","110213.17","182.47","2027550","176700","9342.15"
"NIFTY","27-Apr-2017","25-May-2017","PE","8950","22.95","22.95","16.05","17.6","17","17.6","280","1883.17","3.67","12975","7725","9342.15"
"NIFTY","28-Apr-2017","25-May-2017","PE","8700","5.7","6.6","4.6","6.3","6.15","6.3","11760","76784.16","50.16","1761225","233100","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","8750","0","0","0","27.5","27.5","0.8","0","0","0","75","0","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","8800","8.85","10","7.05","9.05","9.15","9.05","16622","109811.81","106.61","2331825","-159975","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","8850","11","11.5","8.1","9.95","8.1","9.95","52","345.55",".4","3525","1125","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","8900","13.2","15.1","11.05","14","14.3","14","32090","214522.75","322","2289750","262200","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","8950","17.3","18.5","14.25","16.9","16.6","16.9","972","6536.61","12.06","38775","25800","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","10600","1253.8","1255.95","1235.1","1250.05","1253.3","1250.05","41","364.38","38.43","91425","3000","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","10650","0","0","0","1365","0","1295.5","0","0","0","0","0","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","10700","1357","1363.65","1333.6","1340.65","1340.65","1340.65","4","36.15","4.05","10725","0","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","10750","0","0","0","1414.1","0","1395.05","0","0","0","0","0","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","10800","0","0","0","1418.95","1419.55","1444.8","0","0","0","375","0","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","10850","0","0","0","1442.95","0","1494.55","0","0","0","0","0","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","9000","22.4","23.3","18","21.9","22.2","21.9","55273","373974.85","882.1","4370400","72300","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","9050","28.5","29","23","27.3","28.05","27.3","1673","11389.01","33.52","78225","32850","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","9100","33","37.1","29","34.15","34.5","34.15","62263","426527.8","1582.82","3949575","707775","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","9150","44.95","47.2","36","42.2","42.05","42.2","2310","15927.09","74.72","154425","4200","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","9200","54.65","58.9","46.45","53.3","54","53.3","73461","509854.79","2973.89","3428400","492750","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","9250","66.05","74.5","59","67.55","68.2","67.55","5341","37331.63","278.44","259350","66450","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","9300","84.1","93","73.1","84.55","85","84.55","102295","720104.88","6597.26","3387300","555900","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","9350","102.05","115.2","94","105.15","106.5","105.15","4481","31784","360.98","314925","-19800","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","9400","124.25","142.8","116","129.4","130.95","129.4","34779","248608.1","3416.15","1284300","-49350","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","9450","163.15","170.2","148.35","158.55","160","158.55","168","1210.69","19.99","9675","1800","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","9500","185.3","207.95","175","192.25","194.95","192.25","8162","59323.66","1169.41","1115700","90225","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","9550","240","240","240","240","240","240","1","7.34",".18","75","75","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","9600","258.35","291.6","253.95","273.55","275","273.55","1670","12366.14","342.14","402900","900","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","9650","0","0","0","597.55","0","317.55","0","0","0","0","0","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","9700","350.85","378.65","346.05","364.55","365","364.55","314","2369.94","85.59","110700","1350","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","9750","0","0","0","684.35","0","407.75","0","0","0","0","0","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","9800","459.6","468","442.8","462.75","462.75","462.75","15","115.4","5.15","24600","-150","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","9850","0","0","0","774.25","0","502.65","0","0","0","0","0","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","9900","558.15","571.6","542.1","559.25","558.6","559.25","46","360.73","19.18","36000","825","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","9950","0","0","0","866.65","0","600.1","0","0","0","0","0","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","10000","645","686.95","639.8","656.35","660.1","656.35","1000","7993.33","493.33","705075","1275","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","10050","0","0","0","960.85","0","698.8","0","0","0","0","0","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","10100","0","0","0","1008.5","0","748.35","0","0","0","0","0","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","10150","0","0","0","1056.4","0","798","0","0","0","0","0","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","10200","0","0","0","1104.55","0","847.7","0","0","0","0","0","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","10250","0","0","0","1152.95","0","897.45","0","0","0","0","0","9304.05"
"NIFTY","28-Apr-2017","25-May-2017","PE","10300","0","0","0","1201.45","0","947.2","0","0","0","0","0","9304.05"
