"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","11400","1600.1","1620","1597.8","1620","1620","1620","4","39.01","4.81","16125","300","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","11450","0","0","0","1248.8","0","1626.4","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","11500","1727.8","1743.65","1666.85","1684.75","1703.05","1684.75","1727","17104.98","2209.6","557550","120225","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","11550","0","0","0","1298.3","0","1725.9","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","11600","1817","1847","1771.15","1790.95","1803","1790.95","554","5570.04","750.24","96375","41400","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","11650","1833.35","1838.55","1833.35","1838.55","1838.55","1838.55","2","20.23","2.75","150","150","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","9800","150.9","168.3","123.55","134.75","135.95","134.75","51568","384573.68","5548.88","1964100","235200","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","9850","189.6","195.8","147","160.7","167","160.7","964","7242.04","120.49","40200","15450","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","9900","209.75","226.15","170","185.9","185.15","185.9","23054","174555.42","3379.47","1590150","94425","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","9950","250","263.2","200","215.85","220.85","215.85","317","2419.59","53.98","39750","9750","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","10000","301.95","301.95","234","253.1","254.1","253.1","17982","138412.95","3547.95","1999875","67575","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","10050","306.6","330","285","285","285","285","61","474.21","14.42","15300","1200","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","10100","369.35","381.05","308.6","327.8","335.05","327.8","5218","40870.13","1343.78","839775","57150","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","10150","401.6","401.6","357.9","365.9","382.8","365.9","16","126.35","4.55","24825","-900","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","10200","458.65","472.3","395","414.85","420","414.85","4578","36511.11","1489.41","881925","19425","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","10250","0","0","0","352","352","453.35","0","0","0","11625","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","10300","549.8","568.1","486.4","509.1","514","509.1","2240","18192.27","888.27","531225","62250","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","10350","0","0","0","280.55","0","543.75","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","10400","645.55","660.2","582.85","607.7","615","607.7","1263","10439.64","588.24","340500","39000","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","10450","0","0","0","347.95","0","637.75","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","10500","745.15","758.85","675","697.5","704.05","697.5","4640","39018.46","2478.46","803400","206250","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","10550","0","0","0","422.25","0","734.1","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","10600","812.4","830","786.9","797.8","815","797.8","39","333.64","23.59","4575","2475","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","10650","0","0","0","502.35","0","831.9","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","10700","910","936","900","916.75","916.75","916.75","88","766.59","60.39","11625","6450","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","10750","0","0","0","587.25","0","930.5","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","10800","990","1045","988","988","988","988","4","35.42","3.02","1725","300","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","10850","0","0","0","676.05","0","1029.6","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","10900","1104.1","1125","1080.1","1080.1","1080.1","1080.1","8","72.05","6.65","975","600","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","10950","0","0","0","767.8","0","1128.95","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","11000","1237","1250","1174","1199.8","1195","1199.8","5348","48965.2","4844.2","1599075","314250","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","11050","0","0","0","861.75","0","1228.35","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","11100","1297.4","1298.25","1280","1280","1280","1280","18","167.32","17.47","2475","1350","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","11150","0","0","0","957.25","0","1327.85","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","11200","1405","1420","1387","1387","1387","1387","12","113.41","12.61","1650","900","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","11250","0","0","0","1053.8","0","1427.35","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","11300","1534.55","1534.55","1495","1495","1495","1495","51","489.95","57.72","4125","3825","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","11350","0","0","0","1151.1","0","1526.85","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","8200","1.5","2.05","0.95","1.25","1.15","1.25","5512","33904.03","5.23","519750","68175","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","8250","0","0","0","0.05","0","0","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","8300","1.15","1.75","1.15","1.65","1.4","1.65","149","927.69",".16","14400","300","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","8350","0","0","0","0.05","0","0","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","8400","3","3","1.85","2.05","1.95","2.05","1421","8954.58","2.28","161250","1350","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","8450","0","0","0","0.05","0","0","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","8500","3","3","1.5","1.85","1.8","1.85","10095","64369.66","14.04","542100","346650","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","8550","0","0","0","0.05","0","0.05","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","8600","3.55","4","2","2.8","2.7","2.8","1517","9788","3.35","86025","27075","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","8650","0","0","0","0.05","0","0.05","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","8700","4.05","5.2","2.25","3.05","2.9","3.05","1361","8883.92","3.39","96150","37650","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","8750","0","0","0","0.1","0","0.1","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","8800","6","7","3.65","5.05","5.3","5.05","5187","34253.93","19.73","299475","127725","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","8850","0","0","0","0.15","0","0.25","0","0","0","0","0","9768.95"
"NIFTY","28-Sep-2017","26-Oct-2017","PE","8900","7.7","10.95","4.6","6","7.05","6","3347","22357.21","15.98","149475","104625","9768.95"
