"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","29-Jun-2017","27-Jul-2017","PE","11000","1438","1466","1392","1455.6","1464.7","1455.6","3020","28146.52","3231.52","1113825","130200","9504.1"
"NIFTY","29-Jun-2017","27-Jul-2017","PE","11050","0","0","0","1384.25","0","1491.05","0","0","0","0","0","9504.1"
"NIFTY","29-Jun-2017","27-Jul-2017","PE","11100","0","0","0","1386.45","0","1540.8","0","0","0","0","0","9504.1"
"NIFTY","29-Jun-2017","27-Jul-2017","PE","11150","0","0","0","1390.55","0","1590.55","0","0","0","0","0","9504.1"
"NIFTY","29-Jun-2017","27-Jul-2017","PE","11200","1608.3","1660.25","1590.15","1656.75","1657.75","1656.75","405","3899.33","497.33","38850","30375","9504.1"
"NIFTY","29-Jun-2017","27-Jul-2017","PE","9400","70","75","47","66.55","64.65","66.55","70820","502461.94","3180.94","4161600","341925","9504.1"
"NIFTY","29-Jun-2017","27-Jul-2017","PE","9450","80","88.4","58.55","82.3","80.6","82.3","2764","19745.22","155.37","52050","18675","9504.1"
"NIFTY","29-Jun-2017","27-Jul-2017","PE","9500","112","112","71.55","100.15","97.95","100.15","101156","727533.65","6797.15","3210150","1146900","9504.1"
"NIFTY","29-Jun-2017","27-Jul-2017","PE","9550","80.55","128","80.55","121.15","118.4","121.15","4672","33837.62","374.42","150075","81975","9504.1"
"NIFTY","29-Jun-2017","27-Jul-2017","PE","9600","165.75","165.75","108.4","148.3","147.45","148.3","49861","363998.69","4999.49","2348625","673875","9504.1"
"NIFTY","29-Jun-2017","27-Jul-2017","PE","9650","166.6","184","133.15","175.45","177.5","175.45","604","4441.56","70.11","88500","12150","9504.1"
"NIFTY","29-Jun-2017","27-Jul-2017","PE","9700","201.1","220.95","162.05","209.75","211","209.75","14774","109602.61","2121.76","932325","363150","9504.1"
"NIFTY","29-Jun-2017","27-Jul-2017","PE","9750","230.35","245","200","231.35","231.15","231.35","150","1123.22","26.35","38175","10650","9504.1"
