"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","9950","145","149.85","113.4","118.55","116","118.55","718","5427.69","69.61","33450","17325","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","10000","160.05","177.5","137.05","141.55","138.9","141.55","20040","152621.75","2321.75","1614975","395250","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","10050","175","228.7","169","177.6","228.7","177.6","14","107.39","1.86","825","675","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","10100","237.7","245.05","196.75","201.55","198.05","201.55","8872","68691.19","1485.79","740925","238500","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","10150","0","0","0","505.95","0","251.85","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","10200","307.7","325.05","272.05","276.35","273.3","276.35","4899","38586.27","1108.92","812250","113850","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","10250","0","0","0","594.9","0","326.5","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","10300","390.05","419.5","358.8","363.55","361","363.55","1550","12431.27","457.52","255300","71550","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","10350","0","0","0","687.15","0","408.95","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","10400","498.25","509.15","453","459.2","454.55","459.2","1225","10005.45","450.45","156375","66375","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","10450","0","0","0","781.75","0","497.4","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","10500","590","607.35","547","553.85","551","553.85","2843","23626.04","1237.42","1099575","157200","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","10550","0","0","0","877.85","0","590.1","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","10600","675","689","650","653","650","653","180","1521.99","90.99","16500","12825","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","10650","0","0","0","974.9","0","685.7","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","10700","784.05","795.95","745.3","750.3","749.25","750.3","40","344","23","12075","3000","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","10750","0","0","0","1072.55","0","783.05","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","10800","865","880","865","865","865","865","47","411.47","30.77","3450","3000","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","10850","0","0","0","1170.55","0","881.45","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","10900","990","1000","950","950","950","950","5","44.55","3.67","1125","375","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","10950","0","0","0","1268.75","0","980.45","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","11000","1093.35","1100.9","1042","1048.6","1045","1048.6","3800","34409.93","3059.93","1345650","223725","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","11050","0","0","0","1264.25","0","1079.7","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","11100","1179","1179","1179","1179","1179","1179","11","101.3","9.73","2025","825","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","11150","0","0","0","1344.25","0","1179.1","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","11200","1272.9","1276","1248.9","1248.9","1248.9","1248.9","30","280.36","28.36","3150","2250","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","11250","0","0","0","1319.2","0","1278.6","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","11300","1383.05","1390","1356.35","1356.35","1356.35","1356.35","8","76.03","8.23","600","600","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","11350","0","0","0","1303.4","0","1378.1","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","11400","1457.15","1478","1442","1444.95","1442","1444.95","167","1610.71","182.86","166650","12225","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","11450","0","0","0","1352","0","1477.6","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","11500","1570.05","1597.7","1536.8","1542","1539.5","1542","2154","21116.19","2537.94","247350","153675","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","11550","0","0","0","1353.9","0","1577.15","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","11600","1683.75","1686.25","1649.25","1658","1658","1658","138","1372.34","171.74","18675","10350","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","11700","0","0","0","2073.85","0","1726.45","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","11800","1873.35","1873.35","1847.05","1847.05","1847.05","1847.05","5","51.25","7","375","375","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","11900","0","0","0","2102.2","0","1925.45","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","12000","2080","2094","2034.35","2039.3","2035","2039.3","116","1223.31","179.31","38400","7050","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","12100","2185","2190","2148.8","2148.8","2148.8","2148.8","397","4253.66","650.89","29175","29175","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","5500","0.05","0.1","0.05","0.1","0.1","0.1","5","20.63","0","825","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","5600","0","0","0","8.65","0","0","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","5700","0","0","0","10.35","0","0","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","5800","0","0","0","13.15","0","0","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","5900","0","0","0","5.9","0","0","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","6000","0.35","0.35","0.2","0.25","0.3","0.25","19","85.5","0","12225","1425","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","6100","0","0","0","1.05","0","0","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","6200","0","0","0","1.95","0","0","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","6300","0","0","0","2.7","0","0","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","6400","0","0","0","3.65","0","0","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","6500","0","0","0","2.9","2.8","0","0","0","0","450","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","6600","0","0","0","6.55","0","0","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","6700","0","0","0","8.65","0","0","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","6800","0","0","0","11.2","0","0","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","6900","0","0","0","14.45","0","0","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","7000","0.95","0.95","0.95","0.95","0.95","0.95","2","10.5","0","21300","150","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","7100","0","0","0","23.1","0","0","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","7200","0","0","0","28.85","0","0","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","7300","0","0","0","35.6","0","0","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","7400","0","0","0","43.6","0","0","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","7500","0.8","0.8","0.45","0.6","0.8","0.6","12","67.51",".01","4125","600","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","7600","0","0","0","63.8","0","0","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","7700","0","0","0","76.25","0","0","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","7800","0","0","0","0.55","0.55","0","0","0","0","75","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","7900","0","0","0","106.5","0","0","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","8000","0.95","1.05","0.9","1","1.05","1","3590","21542.6","2.6","669225","112350","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","8050","0.7","1.5","0.7","1.1","1.1","1.1","136","821.2",".1","13275","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","8100","1.35","1.5","1.1","1.1","1.1","1.1","29","176.2",".03","22125","150","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","8150","0","0","0","0.05","0","0","0","0","0","0","0","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","8200","2.6","2.6","1.4","1.6","1.5","1.6","1383","8507.45","2","162975","3675","9917.9"
"NIFTY","31-Aug-2017","28-Sep-2017","PE","8250","0","0","0","0.05","0","0","0","0","0","0","0","9917.9"
