"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"25-Jan-2018","    11095.60","    11095.60","    11009.20","    11069.65","      340469462","        19939.54"
"29-Jan-2018","    11079.35","    11171.55","    11075.95","    11130.40","      249220726","        16118.36"
"30-Jan-2018","    11120.85","    11121.10","    11033.90","    11049.65","      234969503","        13232.19"
"31-Jan-2018","    11018.80","    11058.50","    10979.30","    11027.70","      253462573","        14459.69"
"01-Feb-2018","    11044.55","    11117.35","    10878.80","    11016.90","      315743486","        17719.40"
"02-Feb-2018","    10938.20","    10954.95","    10736.10","    10760.60","      291431992","        16542.51"
"05-Feb-2018","    10604.30","    10702.75","    10586.80","    10666.55","      247479157","        13980.63"
"06-Feb-2018","    10295.15","    10594.15","    10276.30","    10498.25","      274656443","        15606.34"
"07-Feb-2018","    10607.20","    10614.00","    10446.40","    10476.70","      258095424","        13971.66"
"08-Feb-2018","    10518.50","    10637.80","    10479.55","    10576.85","      239407938","        12569.23"
"09-Feb-2018","    10416.50","    10480.20","    10398.20","    10454.95","      197502912","        10602.15"
"12-Feb-2018","    10518.20","    10555.50","    10485.40","    10539.75","      224114801","        11133.78"
"14-Feb-2018","    10585.75","    10590.55","    10456.65","    10500.90","      236329440","        12188.94"
"15-Feb-2018","    10537.90","    10618.10","    10511.05","    10545.50","      217090245","        11035.38"
"16-Feb-2018","    10596.20","    10612.90","    10434.05","    10452.30","      190043189","        10026.71"
"19-Feb-2018","    10488.90","    10489.35","    10302.75","    10378.40","      193087737","         9871.36"
"20-Feb-2018","    10391.00","    10429.35","    10347.65","    10360.40","      193464871","         9619.95"
"21-Feb-2018","    10426.00","    10426.10","    10349.60","    10397.45","      241331542","        12996.36"
"22-Feb-2018","    10354.35","    10397.55","    10340.65","    10382.70","      323259078","        17711.46"
