"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Apr-2018","    10151.65","    10220.10","    10127.75","    10211.80","-","-"
"03-Apr-2018","    10186.85","    10255.35","    10171.05","    10245.00","-","-"
"04-Apr-2018","    10274.60","    10279.85","    10111.30","    10128.40","      238182921","        11861.79"
"05-Apr-2018","    10228.45","    10331.80","    10227.45","    10325.15","      244116235","        11674.92"
"06-Apr-2018","    10322.75","    10350.45","    10290.85","    10331.60","      206355691","        10131.74"
"09-Apr-2018","    10333.70","    10397.70","    10328.50","    10379.35","-","-"
"10-Apr-2018","    10412.90","    10424.85","    10381.50","    10402.25","      259523888","        11905.12"
"11-Apr-2018","    10428.15","    10428.15","    10355.60","    10417.15","      258077363","        11790.58"
"12-Apr-2018","    10410.65","    10469.90","    10395.25","    10458.65","      246027888","        12249.66"
"13-Apr-2018","    10495.30","    10519.90","    10451.45","    10480.60","      219724716","        12354.55"
"16-Apr-2018","    10398.30","    10540.15","    10396.35","    10528.35","      200950876","        11242.05"
"17-Apr-2018","    10557.30","    10560.45","    10495.65","    10548.70","      212449535","        10501.71"
"18-Apr-2018","    10578.90","    10594.20","    10509.70","    10526.20","-","-"
"19-Apr-2018","    10563.65","    10572.20","    10546.20","    10565.30","      270740891","        12559.11"
"20-Apr-2018","    10560.35","    10582.35","    10527.45","    10564.05","      252227268","        15372.66"
"23-Apr-2018","    10592.80","    10638.35","    10514.95","    10584.70","      200203196","        13642.67"
"24-Apr-2018","    10578.10","    10636.80","    10569.00","    10614.35","      225972673","        12281.53"
"25-Apr-2018","    10612.40","    10612.60","    10536.45","    10570.55","      195129613","        11125.11"
"26-Apr-2018","    10586.50","    10628.40","    10559.65","    10617.80","      345536167","        19200.41"
