"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"28-Sep-2017","     9736.40","     9789.20","     9687.55","     9768.95","      396874518","        18962.40"
"29-Sep-2017","     9814.30","     9854.00","     9775.35","     9788.60","      202350211","        11087.11"
"03-Oct-2017","     9893.30","     9895.40","     9831.05","     9859.50","      167833406","         9698.55"
"04-Oct-2017","     9884.35","     9938.30","     9850.65","     9914.90","      160993982","         8790.29"
"05-Oct-2017","     9927.00","     9945.95","     9881.85","     9888.70","      152362417","         7823.55"
"06-Oct-2017","     9908.15","     9989.35","     9906.60","     9979.70","      201858899","         9986.18"
"09-Oct-2017","     9988.20","    10015.75","     9959.45","     9988.75","      148395842","         7425.19"
"10-Oct-2017","    10013.70","    10034.00","    10002.30","    10016.95","      153246570","         8055.50"
"11-Oct-2017","    10042.60","    10067.25","     9955.80","     9984.80","      195593061","        10227.90"
"12-Oct-2017","    10011.20","    10104.45","     9977.10","    10096.40","      207106672","        10579.80"
"13-Oct-2017","    10123.70","    10191.90","    10120.10","    10167.45","      237230047","        12379.80"
"16-Oct-2017","    10207.40","    10242.95","    10175.10","    10230.85","      209327364","        11774.68"
"17-Oct-2017","    10227.65","    10251.85","    10212.60","    10234.45","      201782377","        10422.81"
"18-Oct-2017","    10209.40","    10236.45","    10175.75","    10210.85","      262111790","        13177.83"
"19-Oct-2017","    10210.35","    10211.95","    10123.35","    10146.55","       31086379","         1685.16"
"23-Oct-2017","    10176.65","    10224.15","    10124.50","    10184.85","      224799211","        12144.31"
"24-Oct-2017","    10218.55","    10237.75","    10182.40","    10207.70","      223914325","        11539.73"
"25-Oct-2017","    10321.15","    10340.55","    10240.90","    10295.35","      612620774","        25922.51"
"26-Oct-2017","    10291.80","    10355.65","    10271.85","    10343.80","      443036008","        23135.46"
