"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"29-Jun-2017","     9522.95","     9575.80","     9493.80","     9504.10","      267283587","        13395.85"
"30-Jun-2017","     9478.50","     9535.80","     9448.75","     9520.90","      185202600","         8783.59"
"03-Jul-2017","     9587.95","     9624.00","     9543.55","     9615.00","      188690599","         8720.76"
"04-Jul-2017","     9645.90","     9650.65","     9595.50","     9613.30","      149313755","         7774.69"
"05-Jul-2017","     9619.75","     9643.65","     9607.35","     9637.60","      134849476","         7311.10"
"06-Jul-2017","     9653.60","     9700.70","     9639.95","     9674.55","      152001940","         7539.21"
"07-Jul-2017","     9670.35","     9684.25","     9642.65","     9665.80","      146232151","         8514.53"
"10-Jul-2017","     9719.30","     9782.15","     9646.45","     9771.05","       40142973","         1920.78"
"11-Jul-2017","     9797.45","     9830.05","     9778.85","     9786.05","      185322358","         9908.41"
"12-Jul-2017","     9807.30","     9824.95","     9787.70","     9816.10","      150045594","         7966.44"
"13-Jul-2017","     9855.80","     9897.25","     9853.45","     9891.70","      186866752","        10244.56"
"14-Jul-2017","     9913.30","     9913.30","     9845.45","     9886.35","      164456602","         9187.71"
"17-Jul-2017","     9908.15","     9928.20","     9894.70","     9915.95","      168596771","         8310.48"
"18-Jul-2017","     9832.70","     9885.35","     9792.05","     9827.15","      303007860","        13184.22"
"19-Jul-2017","     9855.95","     9905.05","     9851.65","     9899.60","      206376192","        10935.60"
"20-Jul-2017","     9920.20","     9922.55","     9863.45","     9873.30","      166083004","         8942.56"
"21-Jul-2017","     9899.60","     9924.70","     9838.00","     9915.25","      193286125","        11860.28"
"24-Jul-2017","     9936.80","     9982.05","     9919.60","     9966.40","      179905535","        10837.20"
"25-Jul-2017","    10010.55","    10011.30","     9949.10","     9964.55","      191206247","        10491.32"
"26-Jul-2017","     9983.65","    10025.95","     9965.95","    10020.65","      203697844","        11403.30"
"27-Jul-2017","    10063.25","    10114.85","    10005.50","    10020.55","      296782048","        18601.99"
