Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,29-Jun-2017,27-Jul-2017,CE,9150,0,0,0,548.5,548.5,402.4,0,0,0,225,0,9504.1
NIFTY,29-Jun-2017,27-Jul-2017,CE,9200,363.45,404.65,336.1,340.5,346,340.5,3825,27460.16,1067.66,477975,177000,9504.1
NIFTY,29-Jun-2017,27-Jul-2017,CE,9250,0,0,0,337.5,0,308.6,0,0,0,0,0,9504.1
NIFTY,29-Jun-2017,27-Jul-2017,CE,9300,278.3,317.35,251.5,258.6,260.35,258.6,6070,43626.78,1288.53,601050,240750,9504.1
NIFTY,29-Jun-2017,27-Jul-2017,CE,9350,242.6,258,242.55,251.4,251.4,251.4,8,57.6,1.5,3075,450,9504.1
NIFTY,29-Jun-2017,27-Jul-2017,CE,11000,0.45,0.55,0.35,0.5,0.55,0.5,10968,90489.99,3.99,727875,299625,9504.1
NIFTY,29-Jun-2017,27-Jul-2017,CE,11050,0,0,0,0.35,0.35,0,0,0,0,0,0,9504.1
NIFTY,29-Jun-2017,27-Jul-2017,CE,11100,0,0,0,0.6,0,0,0,0,0,0,0,9504.1
NIFTY,29-Jun-2017,27-Jul-2017,CE,11150,0,0,0,0.1,0,0,0,0,0,0,0,9504.1
NIFTY,29-Jun-2017,27-Jul-2017,CE,11200,0,0,0,0.05,0,0,0,0,0,0,0,9504.1
NIFTY,29-Jun-2017,27-Jul-2017,CE,9400,177.1,234.8,176.75,183.5,185,183.5,12012,86482.32,1797.72,784125,270675,9504.1
NIFTY,29-Jun-2017,27-Jul-2017,CE,9450,169.8,195.45,144,147.7,150,147.7,764,5507.69,92.84,36975,14325,9504.1
NIFTY,29-Jun-2017,27-Jul-2017,CE,9500,148.35,160.65,114,117.55,121,117.55,55840,403456.88,5596.88,2443950,1107825,9504.1
NIFTY,29-Jun-2017,27-Jul-2017,CE,9550,122.5,128.7,88.05,91.1,92.85,91.1,4875,35305.31,388.12,109875,45150,9504.1
NIFTY,29-Jun-2017,27-Jul-2017,CE,9600,89,100,66.1,69.45,70.5,69.45,74047,537653.61,4515.21,2404950,450900,9504.1
NIFTY,29-Jun-2017,27-Jul-2017,CE,9650,58.05,75.95,47,49.75,50,49.75,3814,27773.39,169.57,163800,49275,9504.1
NIFTY,29-Jun-2017,27-Jul-2017,CE,9700,50.2,56.05,32.5,35.3,34.7,35.3,86899,634984.15,2793.93,2715750,462450,9504.1
NIFTY,29-Jun-2017,27-Jul-2017,CE,9750,41,41,22.05,24.35,22.7,24.35,4176,30634.42,97.42,163125,76725,9504.1
