"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"31-Aug-2017","     9905.70","     9925.10","     9856.95","     9917.90","      337782004","        14619.43"
"01-Sep-2017","     9937.65","     9983.45","     9909.85","     9974.40","      162730656","         9314.82"
"04-Sep-2017","     9984.15","     9988.40","     9861.00","     9912.85","      153369495","         8069.64"
"05-Sep-2017","     9933.25","     9963.10","     9901.05","     9952.20","      143522342","         7566.62"
"06-Sep-2017","     9899.25","     9931.55","     9882.55","     9916.20","      153767846","         8926.98"
"07-Sep-2017","     9945.85","     9964.85","     9917.20","     9929.90","      194626599","         9455.48"
"08-Sep-2017","     9958.65","     9963.60","     9913.30","     9934.80","      168698771","         8792.49"
"11-Sep-2017","     9971.75","    10028.65","     9968.80","    10006.05","      178409875","         9545.94"
"12-Sep-2017","    10056.85","    10097.55","    10028.05","    10093.05","      188248293","         9894.20"
"13-Sep-2017","    10099.25","    10131.95","    10063.15","    10079.30","      221608053","        10682.41"
"14-Sep-2017","    10107.40","    10126.50","    10070.35","    10086.60","      232637517","        11047.46"
"15-Sep-2017","    10062.35","    10115.15","    10043.65","    10085.40","      274799134","        13650.90"
"18-Sep-2017","    10133.10","    10171.70","    10131.30","    10153.10","      160852680","         8106.66"
"19-Sep-2017","    10175.60","    10178.95","    10129.95","    10147.55","      193345992","         8796.21"
"20-Sep-2017","    10160.95","    10171.05","    10134.20","    10141.15","      205605243","        10105.71"
"21-Sep-2017","    10139.60","    10158.90","    10058.60","    10121.90","      197710666","        11114.28"
"22-Sep-2017","    10094.35","    10095.05","     9952.80","     9964.40","      233621596","        11941.88"
"25-Sep-2017","     9960.10","     9960.50","     9816.05","     9872.60","      228206970","        11258.68"
"26-Sep-2017","     9875.25","     9891.35","     9813.00","     9871.50","      196792799","         9754.02"
"27-Sep-2017","     9920.60","     9921.05","     9714.40","     9735.75","      206305991","        10127.39"
"28-Sep-2017","     9736.40","     9789.20","     9687.55","     9768.95","      396874518","        18962.40"
