"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"25-May-2017","     9384.05","     9523.30","     9379.20","     9509.75","      298147347","        16964.26"
"26-May-2017","     9507.75","     9604.90","     9495.40","     9595.10","      225647631","        11204.36"
"29-May-2017","     9560.05","     9637.75","     9547.70","     9604.90","      242266034","        12484.61"
"30-May-2017","     9590.65","     9635.30","     9581.20","     9624.55","      199894193","         9765.40"
"31-May-2017","     9636.55","     9649.60","     9609.25","     9621.25","      427053433","        19605.94"
"01-Jun-2017","     9603.55","     9634.65","     9589.90","     9616.10","      181533283","         9482.61"
"02-Jun-2017","     9657.15","     9673.50","     9637.45","     9653.50","      167195027","         8564.30"
"05-Jun-2017","     9656.30","     9687.20","     9640.70","     9675.10","      131685021","         7192.24"
"06-Jun-2017","     9704.25","     9709.30","     9630.20","     9637.15","      150379695","         8416.55"
"07-Jun-2017","     9663.95","     9678.55","     9630.55","     9663.90","      165669924","         8989.36"
"08-Jun-2017","     9682.40","     9688.70","     9641.50","     9647.25","      160165459","         8822.63"
"09-Jun-2017","     9638.55","     9676.25","     9608.15","     9668.25","      163897548","         9078.71"
"12-Jun-2017","     9646.70","     9647.05","     9598.50","     9616.40","      145786938","         7686.89"
"13-Jun-2017","     9615.55","     9654.15","     9595.40","     9606.90","      133734363","         7056.83"
"14-Jun-2017","     9621.55","     9627.40","     9580.45","     9618.15","      187378750","        10540.68"
"15-Jun-2017","     9617.90","     9621.40","     9560.80","     9578.05","      176423424","         9868.08"
"16-Jun-2017","     9595.45","     9615.85","     9565.50","     9588.05","      219808528","        11920.62"
"19-Jun-2017","     9626.40","     9673.30","     9614.90","     9657.55","      146146062","         8144.36"
"20-Jun-2017","     9670.50","     9676.50","     9643.75","     9653.50","      164437226","         8476.67"
"21-Jun-2017","     9648.10","     9650.45","     9608.60","     9633.60","      148490556","         8023.40"
"22-Jun-2017","     9642.65","     9698.85","     9617.75","     9630.00","      204888654","        10738.45"
"23-Jun-2017","     9643.25","     9647.65","     9565.30","     9574.95","      180580579","         9092.74"
"27-Jun-2017","     9594.05","     9615.40","     9473.45","     9511.40","      209593904","        11084.51"
"28-Jun-2017","     9520.20","     9522.50","     9474.35","     9491.25","      177652206","         9103.73"
"29-Jun-2017","     9522.95","     9575.80","     9493.80","     9504.10","      267283587","        13395.85"
