"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"26-Oct-2017","    10291.80","    10355.65","    10271.85","    10343.80","      443036008","        23135.46"
"27-Oct-2017","    10362.30","    10366.15","    10311.30","    10323.05","      322411410","        15149.90"
"30-Oct-2017","    10353.85","    10384.50","    10344.30","    10363.65","      244193178","        12558.70"
"31-Oct-2017","    10364.90","    10367.70","    10323.95","    10335.30","      239809700","        12830.06"
"01-Nov-2017","    10390.35","    10451.65","    10383.05","    10440.50","      268270466","        14206.21"
"02-Nov-2017","    10440.50","    10453.00","    10412.55","    10423.80","      207735021","        10779.63"
"03-Nov-2017","    10461.55","    10461.70","    10403.60","    10452.50","      206101238","        10070.83"
"06-Nov-2017","    10431.75","    10490.45","    10413.75","    10451.80","      199559409","        10231.76"
"07-Nov-2017","    10477.15","    10485.75","    10340.80","    10350.15","      295830692","        16182.46"
"08-Nov-2017","    10361.95","    10384.25","    10285.50","    10303.15","      282950322","        14789.39"
"09-Nov-2017","    10358.65","    10368.45","    10266.95","    10308.95","      247606613","        12697.28"
"10-Nov-2017","    10304.35","    10344.95","    10254.10","    10321.75","      287962940","        14682.60"
"13-Nov-2017","    10322.00","    10334.15","    10216.25","    10224.95","      216799588","        11783.34"
"14-Nov-2017","    10223.40","    10248.00","    10175.55","    10186.60","      314413476","        15398.97"
"15-Nov-2017","    10171.95","    10175.45","    10094.00","    10118.05","      213836202","        11609.18"
"16-Nov-2017","    10152.90","    10232.25","    10139.20","    10214.75","      188180035","         9995.55"
"17-Nov-2017","    10324.55","    10343.60","    10268.05","    10283.60","      209592893","        11023.35"
"20-Nov-2017","    10287.20","    10309.85","    10261.50","    10298.75","      151751415","         8502.63"
"21-Nov-2017","    10329.25","    10358.70","    10315.05","    10326.90","      191859084","        10443.99"
"22-Nov-2017","    10350.80","    10368.70","    10309.55","    10342.30","      162504058","         9136.04"
"23-Nov-2017","    10358.45","    10374.30","    10307.30","    10348.75","      157651842","         8789.42"
"24-Nov-2017","    10366.80","    10404.50","    10362.25","    10389.70","      133177324","         8197.66"
"27-Nov-2017","    10361.05","    10407.15","    10340.20","    10399.55","      146276512","         7551.71"
"28-Nov-2017","    10387.90","    10409.55","    10355.20","    10370.25","      202050866","         9979.25"
"29-Nov-2017","    10376.65","    10392.95","    10345.90","    10361.30","      157192930","         8852.80"
"30-Nov-2017","    10332.70","    10332.70","    10211.25","    10226.55","      353105240","        19005.56"
