"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"27-Jul-2017","    10063.25","    10114.85","    10005.50","    10020.55","      296782048","        18601.99"
"28-Jul-2017","     9996.55","    10026.05","     9944.50","    10014.50","      197491415","        11996.80"
"31-Jul-2017","    10034.70","    10085.90","    10016.95","    10077.10","      245096535","        13131.89"
"01-Aug-2017","    10101.05","    10128.60","    10065.75","    10114.65","      190000516","        11515.29"
"02-Aug-2017","    10136.30","    10137.85","    10054.20","    10081.50","      166463276","         9165.92"
"03-Aug-2017","    10081.15","    10081.15","     9998.25","    10013.65","      198665837","        10714.10"
"04-Aug-2017","    10008.60","    10075.25","     9988.35","    10066.40","      184082134","        10397.88"
"07-Aug-2017","    10074.80","    10088.10","    10046.35","    10057.40","      141566282","         7827.95"
"08-Aug-2017","    10068.35","    10083.80","     9947.00","     9978.55","      209645343","        10780.41"
"09-Aug-2017","     9961.15","     9969.80","     9893.05","     9908.05","      174395293","         8831.72"
"10-Aug-2017","     9872.85","     9892.65","     9776.20","     9820.25","      242820594","        12040.13"
"11-Aug-2017","     9712.15","     9771.65","     9685.55","     9710.80","      294732998","        13435.56"
"14-Aug-2017","     9755.75","     9818.30","     9752.10","     9794.15","      201613585","         9486.82"
"16-Aug-2017","     9825.85","     9903.95","     9773.85","     9897.30","      226269013","        10815.38"
"17-Aug-2017","     9945.55","     9947.80","     9883.75","     9904.15","      203652311","         9927.47"
"18-Aug-2017","     9865.95","     9865.95","     9783.65","     9837.40","      253931517","        15636.16"
"21-Aug-2017","     9864.25","     9884.35","     9740.10","     9754.35","      211627775","        11764.00"
"22-Aug-2017","     9815.75","     9828.45","     9752.60","     9765.55","      189267122","         9850.89"
"23-Aug-2017","     9803.05","     9857.90","     9786.75","     9852.50","      173815509","         9961.13"
"24-Aug-2017","     9881.20","     9881.50","     9848.85","     9857.05","      190398702","        10392.63"
"28-Aug-2017","     9907.15","     9925.75","     9882.00","     9912.80","      164493772","         9900.06"
"29-Aug-2017","     9886.40","     9887.35","     9783.75","     9796.05","      178668444","         8469.09"
"30-Aug-2017","     9859.50","     9909.45","     9850.80","     9884.40","      162704136","         8008.72"
"31-Aug-2017","     9905.70","     9925.10","     9856.95","     9917.90","      337782004","        14619.43"
