SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
RAMCOCEM,678.65,691.5,678.25,687,687.1,678.7,76888,52756268.05,01-AUG-2017,4382,INE331A01037
RAYMOND,800,804.2,785.3,789.3,789,791.75,268893,213440115.1,01-AUG-2017,5719,INE301A01014
RBLBANK,537.85,539.5,527,530.45,531.85,534.75,1033386,551109788.3,01-AUG-2017,18622,INE976G01028
RCOM,26.4,26.55,25.65,25.8,25.8,26.25,8980784,233421813.85,01-AUG-2017,10897,INE330H01018
RECLTD,175.4,178.1,174.3,174.85,174.65,175.05,5797184,1019817384.8,01-AUG-2017,33057,INE020B01018
RELCAPITAL,724.7,729.3,714.25,723.3,725,724.4,2761906,1992380640.5,01-AUG-2017,47146,INE013A01015
RELIANCE,1622.75,1622.75,1591.5,1603.6,1605.8,1615.2,2814298,4516958842.35,01-AUG-2017,80380,INE002A01018
RELINFRA,531.5,532.5,523.1,526.6,526.65,528.65,1296488,683005365.55,01-AUG-2017,24854,INE036A01016
REPCOHOME,741.05,769.4,741,759.75,761.5,741.45,145842,110663373.2,01-AUG-2017,5213,INE612J01015
RPOWER,45.3,45.5,43.8,44.3,44.25,45.35,2986051,133286231.4,01-AUG-2017,8552,INE614G01033
SAIL,63.5,63.9,62.9,63.1,63.25,63.25,2346252,148517529.85,01-AUG-2017,5624,INE114A01011
SBIN,314,314.8,307.95,309,309.25,312.5,14888804,4624253750.2,01-AUG-2017,106658,INE062A01020
SHREECEM,18799.9,18799.9,18140.15,18631.7,18640,18601.7,21000,387116767.8,01-AUG-2017,7587,INE070A01015
SIEMENS,1415.4,1444.55,1393,1396.85,1399,1455.15,292511,411787635.5,01-AUG-2017,11309,INE003A01024
SREINFRA,118,124.7,116.55,122.45,122.8,117.05,4506593,549080020.45,01-AUG-2017,28500,INE872A01014
SRF,1528.9,1536,1509.05,1513.6,1512.05,1518.75,167510,254950396.95,01-AUG-2017,13610,INE647A01010
SRTRANSFIN,1026.1,1042,1013,1033.8,1033.35,1017,1871867,1930216542.15,01-AUG-2017,48376,INE721A01013
STAR,1058,1074.6,1049.55,1053.2,1052.45,1058.9,126125,133849831.65,01-AUG-2017,4684,INE939A01011
