SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
TATACHEM,620.05,624.35,613,614.1,613.8,619.9,315243,194414325.85,01-AUG-2017,5281,INE092A01019
TATACOMM,671.5,676,655,657.4,655.5,671.1,265625,175733887.6,01-AUG-2017,7425,INE151A01013
TATAELXSI,1758,1759.75,1734.05,1740.95,1742,1753.15,208054,362891800.5,01-AUG-2017,7572,INE670A01012
TATAGLOBAL,171,171.75,166.75,167.5,167.8,169.55,2140964,362290367.7,01-AUG-2017,11145,INE192A01025
TATAMOTORS,446.55,452.35,445.7,446.9,446.8,444.6,4012791,1799248860.2,01-AUG-2017,58032,INE155A01022
TATAMTRDVR,262.15,264.2,260.7,262.6,262.75,260.5,1254081,329148552.15,01-AUG-2017,23241,IN9155A01020
TATAPOWER,81.2,83.25,81.2,82.8,83.25,82,2365558,194756670.5,01-AUG-2017,8956,INE245A01021
TATASTEEL,569.7,575.25,568.6,572.4,570.95,567.1,5091142,2911508875.95,01-AUG-2017,54527,INE081A01012
TCS,2500,2520.75,2491,2501.65,2495.15,2491.8,873730,2186195097.35,01-AUG-2017,42188,INE467B01029
TECHM,405,413.9,400.05,402.45,401.65,385.85,12617014,5121979547.2,01-AUG-2017,118455,INE669C01036
TITAN,546.5,549.9,538.1,539.35,538.3,544.25,1346764,731278313.2,01-AUG-2017,38125,INE280A01028
TORNTPHARM,1310,1322,1276.3,1292.15,1292.9,1318.05,310603,403260984.15,01-AUG-2017,19816,INE685A01028
TORNTPOWER,182,190.35,180.2,181.9,182.4,181.95,7090360,1308849785.9,01-AUG-2017,60214,INE813H01021
TV18BRDCST,40.25,40.25,39.45,39.65,39.6,40.05,2488877,98906247.3,01-AUG-2017,2939,INE886H01027
TVSMOTOR,585.65,599.65,582.15,596.4,595,582.1,1291424,767290254.05,01-AUG-2017,21376,INE494B01023
ZEEL,543.8,550.5,539.4,543.6,543.05,541.75,1854664,1006821133.25,01-AUG-2017,42178,INE256A01028
TATACHEM,618.95,622.35,610.3,612.25,612.1,614.1,461110,284259588.85,02-AUG-2017,7472,INE092A01019
TATACOMM,660,667,655.2,659.55,658.25,657.4,241946,159829732.85,02-AUG-2017,13322,INE151A01013
TATAELXSI,1743.9,1743.9,1710,1715.2,1711,1740.95,194110,334506618.8,02-AUG-2017,7574,INE670A01012
TATAGLOBAL,168,168.55,164.2,165.1,164.85,167.5,2009220,333475316.4,02-AUG-2017,8761,INE192A01025
TATAMOTORS,449.5,449.95,438.15,440.35,438.9,446.9,4045533,1790768052.9,02-AUG-2017,61624,INE155A01022
TATAMTRDVR,263.45,263.45,259.6,260.45,260,262.6,1416514,370392918.25,02-AUG-2017,12623,IN9155A01020
TATAPOWER,82.8,82.95,82.1,82.6,82.3,82.8,867025,71578832.05,02-AUG-2017,5089,INE245A01021
TATASTEEL,573,573.8,565.5,569.25,567.8,572.4,2987644,1700932770,02-AUG-2017,35581,INE081A01012
TCS,2500,2508,2462,2473.8,2475,2501.65,625512,1554089626.75,02-AUG-2017,44731,INE467B01029
TECHM,402.6,406.4,396.5,402.05,402.8,402.45,4071990,1636100079.3,02-AUG-2017,80739,INE669C01036
TITAN,541.9,555.55,538.5,552.8,553,539.35,1469268,803126550.9,02-AUG-2017,25916,INE280A01028
TORNTPHARM,1288,1310,1270,1274.8,1272,1292.15,105767,136091450.8,02-AUG-2017,7463,INE685A01028
TORNTPOWER,183.35,186.35,182,183.15,182.6,181.9,1843166,339549819.9,02-AUG-2017,16023,INE813H01021
TV18BRDCST,39.65,39.75,38.55,38.85,38.7,39.65,2105485,82338545.55,02-AUG-2017,3200,INE886H01027
TVSMOTOR,595,596,586.1,590.55,590.5,596.4,520377,306974563.75,02-AUG-2017,10753,INE494B01023
ZEEL,545.5,545.5,539.9,540.3,540,543.6,818289,442136161.4,02-AUG-2017,17917,INE256A01028
TATACHEM,617.25,617.7,596.75,600.15,597.1,612.25,637146,384335535.2,03-AUG-2017,10166,INE092A01019
TATACOMM,655,659.8,631.65,637.65,639.75,659.55,502741,324291596.8,03-AUG-2017,17023,INE151A01013
TATAELXSI,1715,1717.25,1684.05,1691.5,1692.3,1715.2,164772,279985187.25,03-AUG-2017,6463,INE670A01012
TATAGLOBAL,165.95,169.4,164.5,166.65,167,165.1,2895078,484525552.75,03-AUG-2017,15032,INE192A01025
TATAMOTORS,441,441.5,429.6,431.45,432,440.35,6197142,2685855289.15,03-AUG-2017,87118,INE155A01022
TATAMTRDVR,261,261.9,253.05,253.6,253.45,260.45,1483140,379359085.35,03-AUG-2017,29918,IN9155A01020
TATAPOWER,82.5,83.4,82.2,82.65,82.45,82.6,2966583,245722298.6,03-AUG-2017,9273,INE245A01021
TATASTEEL,567,568.35,557.55,559.3,559.75,569.25,3286455,1843732887.85,03-AUG-2017,51818,INE081A01012
TCS,2480,2502,2466.45,2489.45,2490.05,2473.8,941274,2340709563.5,03-AUG-2017,39294,INE467B01029
TECHM,404,408.5,401.05,407.15,407.5,402.05,4650231,1886581633.6,03-AUG-2017,115399,INE669C01036
TITAN,555.8,565.4,546.65,558.05,556.6,552.8,4333554,2418736596.35,03-AUG-2017,64070,INE280A01028
TORNTPHARM,1277,1281,1246.55,1254.05,1250.1,1274.8,89554,112859552.65,03-AUG-2017,8650,INE685A01028
TORNTPOWER,183.7,186.95,181.9,183.7,184.4,183.15,2521679,466659330.65,03-AUG-2017,23434,INE813H01021
TV18BRDCST,38.8,39.2,38.5,38.65,38.65,38.85,3809932,147867347.6,03-AUG-2017,3849,INE886H01027
TVSMOTOR,590.6,596,581.5,586.7,592.6,590.55,426796,251474298.55,03-AUG-2017,11732,INE494B01023
ZEEL,540,541.7,538.35,539.95,540,540.3,1906088,1029228045.9,03-AUG-2017,81238,INE256A01028
TATACHEM,600.7,607.55,594.2,606.35,605.7,600.15,1222797,735128699,04-AUG-2017,25856,INE092A01019
TATACOMM,641.5,646.35,624.25,641.35,643,637.65,486257,308180136.2,04-AUG-2017,16774,INE151A01013
